Bias,Efficiency,Counts_Expected
2.303030303030303e-06,0.0+/-0,(2.437+/-0.005)e+06
2.40771349862259e-06,0.0+/-0,(2.437+/-0.005)e+06
2.512396694214876e-06,0.0+/-0,(2.437+/-0.005)e+06
2.617079889807163e-06,0.0+/-0,(2.437+/-0.005)e+06
2.7217630853994495e-06,0.0+/-0,(2.437+/-0.005)e+06
2.8264462809917357e-06,0.0+/-0,(2.437+/-0.005)e+06
2.9311294765840224e-06,0.0+/-0,(2.437+/-0.005)e+06
3.035812672176309e-06,0.0+/-0,(2.437+/-0.005)e+06
3.1404958677685953e-06,0.0+/-0,(2.437+/-0.005)e+06
3.2451790633608816e-06,0.0+/-0,(2.437+/-0.005)e+06
3.3498622589531683e-06,0.0+/-0,(2.437+/-0.005)e+06
3.454545454545455e-06,0.0+/-0,(2.437+/-0.005)e+06
3.5592286501377412e-06,0.0+/-0,(2.437+/-0.005)e+06
3.663911845730028e-06,(1.4+/-1.9)e-07,(2.437+/-0.005)e+06
3.7685950413223146e-06,(2.7+/-1.9)e-07,(2.437+/-0.005)e+06
3.873278236914601e-06,(7+/-7)e-07,(2.437+/-0.005)e+06
3.977961432506888e-06,(8+/-7)e-07,(2.437+/-0.005)e+06
4.082644628099174e-06,(1.23+/-0.34)e-06,(2.437+/-0.005)e+06
4.1873278236914605e-06,(4.5+/-1.3)e-06,(2.437+/-0.005)e+06
4.2920110192837476e-06,(5.6+/-0.5)e-06,(2.437+/-0.005)e+06
4.396694214876033e-06,(9.03+/-0.34)e-06,(2.437+/-0.005)e+06
4.50137741046832e-06,(1.34+/-0.33)e-05,(2.437+/-0.005)e+06
4.606060606060607e-06,(2.6+/-0.5)e-05,(2.437+/-0.005)e+06
4.710743801652893e-06,(4.0+/-0.5)e-05,(2.437+/-0.005)e+06
4.81542699724518e-06,(6.4+/-0.5)e-05,(2.437+/-0.005)e+06
4.920110192837467e-06,0.000107+/-0.000006,(2.437+/-0.005)e+06
5.024793388429752e-06,0.0001568+/-0.0000028,(2.437+/-0.005)e+06
5.129476584022039e-06,0.000225+/-0.000008,(2.437+/-0.005)e+06
5.2341597796143264e-06,0.000317+/-0.000005,(2.437+/-0.005)e+06
5.338842975206612e-06,0.000426+/-0.000017,(2.437+/-0.005)e+06
