Range,Attenuator 1,Attenuator 2,Power
0,-0.0,0.0,"[0.00011849499309761779, 0.00011849499309761779, 0.00011849499309761779, 0.00011849499309761779, 0.00011849499309761779, 0.00011846771175814856, 0.00011846771175814856, 0.00011846771175814856, 0.00011849499309761779, 0.00011846771175814856, 0.00011846771175814856, 0.00011849499309761779, 0.00011846771175814856, 0.00011846771175814856, 0.00011846771175814856, 0.00011846771175814856, 0.00011846771175814856, 0.00011846771175814856, 0.00011846771175814856, 0.00011846771175814856, 0.00011846771175814856, 0.0001184404366997166, 0.0001184404366997166, 0.0001184404366997166, 0.0001184404366997166]"
0,-0.0,2.75,"[6.303764788294875e-05, 6.302313459908513e-05, 6.302313459908513e-05, 6.302313459908513e-05, 6.302313459908513e-05, 6.302313459908513e-05, 6.302313459908513e-05, 6.302313459908513e-05, 6.302313459908513e-05, 6.300862465664393e-05, 6.300862465664393e-05, 6.302313459908513e-05, 6.300862465664393e-05, 6.300862465664393e-05, 6.300862465664393e-05, 6.300862465664393e-05, 6.300862465664393e-05, 6.299411805485588e-05, 6.300862465664393e-05, 6.299411805485588e-05, 6.299411805485588e-05, 6.299411805485588e-05, 6.299411805485588e-05, 6.299411805485588e-05, 6.299411805485588e-05]"
0,-0.0,2.25,"[7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.063175542629619e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.064802086156542e-05, 7.063175542629619e-05, 7.063175542629619e-05, 7.063175542629619e-05, 7.063175542629619e-05, 7.063175542629619e-05, 7.063175542629619e-05, 7.063175542629619e-05, 7.063175542629619e-05, 7.063175542629619e-05]"
0,0.1,0.0,"[0.00011598451211901669, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.0001156112242192099, 0.00011558460681562231, 0.00011558460681562231, 0.00011558460681562231, 0.00011558460681562231, 0.00011558460681562231, 0.00011558460681562231, 0.00011558460681562231, 0.00011558460681562231]"
0,0.1,2.75,"[6.147520703193109e-05, 6.146105347195238e-05, 6.146105347195238e-05, 6.146105347195238e-05, 6.146105347195238e-05, 6.146105347195238e-05, 6.146105347195238e-05, 6.144690317057614e-05, 6.146105347195238e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05, 6.144690317057614e-05]"
0,0.1,2.25,"[6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.892868607318447e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05, 6.891281648380538e-05]"
0,0.2,0.0,"[0.00011303163247386969, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923, 0.00011282361216489923]"
0,0.2,2.75,"[5.9979107625550944e-05, 5.9979107625550944e-05, 5.996529851553353e-05, 5.996529851553353e-05, 5.996529851553353e-05, 5.996529851553353e-05, 5.996529851553353e-05, 5.996529851553353e-05, 5.996529851553353e-05, 5.996529851553353e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05, 5.9951492584815164e-05]"
0,0.2,2.25,"[6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05, 6.725119410047599e-05]"
0,0.3,0.0,"[0.00011073884766913273, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011023004888112023, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011023004888112023, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011020467039630304, 0.00011023004888112023, 0.00011020467039630304, 0.00011020467039630304]"
0,0.3,2.75,"[5.8573341442583784e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05, 5.85598559849288e-05]"
0,0.3,2.25,"[6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.569011164762665e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.569011164762665e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.569011164762665e-05, 6.569011164762665e-05, 6.567498768172067e-05, 6.567498768172067e-05, 6.567498768172067e-05]"
0,0.4,0.0,"[0.00010794437099844535, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727, 0.00010767131074439727]"
0,0.4,2.75,"[5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.718735365066648e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.720052304159283e-05, 5.718735365066648e-05, 5.718735365066648e-05, 5.718735365066648e-05, 5.718735365066648e-05, 5.718735365066648e-05, 5.718735365066648e-05, 5.718735365066648e-05, 5.718735365066648e-05, 5.718735365066648e-05, 5.718735365066648e-05]"
0,0.4,2.25,"[6.41800424483918e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.415049325106628e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05, 6.416526614874054e-05]"
0,0.5,0.0,"[0.00010546297058996518, 0.00010519618738232229, 0.00010522041248852432, 0.00010522041248852432, 0.00010522041248852432, 0.00010522041248852432, 0.00010522041248852432, 0.00010522041248852432, 0.00010519618738232229, 0.00010522041248852432, 0.00010519618738232229, 0.00010519618738232229, 0.00010519618738232229, 0.00010519618738232229, 0.00010522041248852432, 0.00010522041248852432, 0.00010519618738232229, 0.00010519618738232229, 0.00010519618738232229, 0.00010519618738232229, 0.00010519618738232229, 0.00010522041248852432, 0.00010522041248852432, 0.00010522041248852432, 0.00010522041248852432]"
0,0.5,2.75,"[5.5898480174384994e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.5898480174384994e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05, 5.588561055539444e-05]"
0,0.5,2.25,"[6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.26902497476165e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.270468637308517e-05, 6.27191263230924e-05, 6.270468637308517e-05]"
0,0.6,0.0,"[0.000102872667195368, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.000102872667195368, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.00010284898261526464, 0.000102872667195368]"
0,0.6,2.75,"[5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.461349875057235e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05, 5.4626075421269465e-05]"
0,0.6,2.25,"[6.129146470875525e-05, 6.127735345213941e-05, 6.129146470875525e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.129146470875525e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.129146470875525e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05, 6.127735345213941e-05]"
0,0.7,0.0,"[0.00010060046774724964, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806, 0.00010048471382465806]"
