Current (A),Measured Voltage (V)
0.0,-2.27437256e-05
1.5151515151515152e-07,-2.24792504e-05
3.0303030303030305e-07,-2.23683976e-05
4.5454545454545457e-07,-2.25062733e-05
6.060606060606061e-07,-2.07642146e-05
7.575757575757576e-07,-2.18349229e-05
9.090909090909091e-07,-2.09470332e-05
1.0606060606060606e-06,-2.12077496e-05
1.2121212121212122e-06,-2.31792093e-05
1.3636363636363638e-06,-2.21104423e-05
1.5151515151515152e-06,-2.18402671e-05
1.6666666666666667e-06,-2.13749994e-05
1.8181818181818183e-06,-2.18749855e-05
1.96969696969697e-06,-2.19761475e-05
2.121212121212121e-06,-2.1897252e-05
2.2727272727272728e-06,-2.0507025e-05
2.4242424242424244e-06,-2.14136544e-05
2.575757575757576e-06,-2.25046878e-05
2.7272727272727276e-06,-2.18355107e-05
2.878787878787879e-06,-2.16698463e-05
3.0303030303030305e-06,-2.10393242e-05
3.181818181818182e-06,-2.1581492e-05
3.3333333333333333e-06,-2.19718009e-05
3.484848484848485e-06,-2.18375061e-05
3.6363636363636366e-06,-2.04180829e-05
3.7878787878787882e-06,-2.17945045e-05
3.93939393939394e-06,-2.17173723e-05
4.0909090909090915e-06,-2.19818475e-05
4.242424242424242e-06,-2.10564784e-05
4.393939393939394e-06,-2.21982088e-05
4.5454545454545455e-06,-2.15051797e-05
4.696969696969697e-06,-2.19408413e-05
4.848484848484849e-06,-2.10968968e-05
5e-06,-2.06346221e-05
5.151515151515152e-06,-2.15722111e-05
5.303030303030304e-06,-2.11925907e-05
5.454545454545455e-06,-2.11992885e-05
5.606060606060606e-06,-2.11562869e-05
5.757575757575758e-06,-2.09845126e-05
5.909090909090909e-06,-2.21755325e-05
6.060606060606061e-06,-2.11375472e-05
6.212121212121213e-06,-2.14175911e-05
6.363636363636364e-06,-2.18205297e-05
6.515151515151516e-06,-2.22264073e-05
6.666666666666667e-06,-2.23871373e-05
6.818181818181818e-06,-2.04021043e-05
6.96969696969697e-06,-2.09046194e-05
7.1212121212121215e-06,-2.22463226e-05
7.272727272727273e-06,-2.15891874e-05
7.424242424242425e-06,-2.03831867e-05
7.5757575757575764e-06,-2.05500266e-05
7.727272727272727e-06,-2.13284711e-05
7.87878787878788e-06,-2.13864536e-05
8.03030303030303e-06,-2.17195456e-05
8.181818181818183e-06,-2.08322437e-05
8.333333333333334e-06,-2.13678918e-05
8.484848484848485e-06,-2.11959396e-05
8.636363636363637e-06,-2.17459808e-05
8.787878787878788e-06,-2.13933292e-05
8.93939393939394e-06,-2.03496439e-05
9.090909090909091e-06,-2.13511474e-05
9.242424242424244e-06,-2.18217053e-05
9.393939393939394e-06,-2.25289497e-05
9.545454545454547e-06,-2.19840208e-05
9.696969696969698e-06,-2.14097177e-05
9.848484848484848e-06,-2.148033e-05
1e-05,-2.23289769e-05
1.0151515151515152e-05,-2.08040452e-05
1.0303030303030304e-05,-2.13406909e-05
1.0454545454545455e-05,-2.07598681e-05
1.0606060606060607e-05,-2.08460491e-05
1.0757575757575758e-05,-2.21542096e-05
1.090909090909091e-05,-2.13369322e-05
1.1060606060606061e-05,-2.12109205e-05
1.1212121212121212e-05,-2.03391874e-05
1.1363636363636365e-05,-2.18175908e-05
1.1515151515151515e-05,-2.20071071e-05
1.1666666666666668e-05,-2.13357566e-05
1.1818181818181819e-05,-2.14231132e-05
1.1969696969696971e-05,-2.04040997e-05
1.2121212121212122e-05,-2.17769404e-05
1.2272727272727273e-05,-2.04865219e-05
1.2424242424242425e-05,-2.09365767e-05
1.2575757575757576e-05,-2.07495895e-05
1.2727272727272728e-05,-2.09549065e-05
1.287878787878788e-05,-2.1891142e-05
1.3030303030303032e-05,-2.13477986e-05
1.3181818181818183e-05,-2.07655681e-05
1.3333333333333333e-05,-2.11894198e-05
1.3484848484848486e-05,-2.1813832e-05
1.3636363636363637e-05,-2.17266533e-05
1.3787878787878789e-05,-2.21429874e-05
1.393939393939394e-05,-2.17250678e-05
1.4090909090909092e-05,-2.12690809e-05
1.4242424242424243e-05,-2.11905953e-05
1.4393939393939396e-05,-2.17984411e-05
1.4545454545454546e-05,-2.14195865e-05
1.4696969696969697e-05,-1.98760929e-05
1.484848484848485e-05,-2.17824625e-05
1.5e-05,-2.15140507e-05
1.484848484848485e-05,-2.15363172e-05
1.4696969696969697e-05,-2.05644197e-05
1.4545454545454546e-05,-2.10221699e-05
1.4393939393939396e-05,-2.05202426e-05
1.4242424242424243e-05,-2.05107838e-05
1.4090909090909092e-05,-2.18814512e-05
1.393939393939394e-05,-2.14886133e-05
1.3787878787878789e-05,-2.15422492e-05
1.3636363636363637e-05,-2.17079136e-05
1.3484848484848486e-05,-2.10209944e-05
1.3333333333333333e-05,-2.13213634e-05
1.3181818181818183e-05,-2.2060743e-05
1.3030303030303032e-05,-2.17658961e-05
1.287878787878788e-05,-2.14560682e-05
1.2727272727272728e-05,-2.16388867e-05
1.2575757575757576e-05,-2.14947232e-05
1.2424242424242425e-05,-2.07466505e-05
1.2272727272727273e-05,-2.1197703e-05
1.2121212121212122e-05,-2.26013254e-05
1.1969696969696971e-05,-2.14637636e-05
1.1818181818181819e-05,-2.18575992e-05
1.1666666666666668e-05,-2.13617818e-05
1.1515151515151515e-05,-2.21197232e-05
1.1363636363636365e-05,-2.14560682e-05
1.1212121212121212e-05,-2.17648984e-05
1.1060606060606061e-05,-2.15521179e-05
1.090909090909091e-05,-2.15169897e-05
1.0757575757575758e-05,-2.14572438e-05
1.0606060606060607e-05,-2.14313964e-05
1.0454545454545455e-05,-2.2165076e-05
1.0303030303030304e-05,-2.19585833e-05
1.0151515151515152e-05,-2.08190262e-05
1e-05,-2.15091163e-05
9.848484848484848e-06,-2.14568339e-05
9.696969696969698e-06,-2.21169622e-05
9.545454545454547e-06,-2.23240426e-05
9.393939393939394e-06,-2.23185204e-05
9.242424242424244e-06,-2.16163883e-05
9.090909090909091e-06,-2.15639279e-05
8.93939393939394e-06,-2.30977306e-05
8.787878787878788e-06,-2.13324077e-05
8.636363636363637e-06,-2.24252045e-05
8.484848484848485e-06,-2.24709672e-05
8.333333333333334e-06,-2.17686571e-05
8.181818181818183e-06,-2.22187119e-05
8.03030303030303e-06,-2.12379435e-05
7.87878787878788e-06,-2.12773642e-05
7.727272727272727e-06,-2.16582142e-05
7.5757575757575764e-06,-2.23903083e-05
7.424242424242425e-06,-2.29458716e-05
7.272727272727273e-06,-2.17757648e-05
7.1212121212121215e-06,-2.18615359e-05
6.96969696969697e-06,-2.22059043e-05
6.818181818181818e-06,-2.25394062e-05
6.666666666666667e-06,-2.28403631e-05
6.515151515151516e-06,-2.15769676e-05
6.363636363636364e-06,-2.28829547e-05
6.212121212121213e-06,-2.12087473e-05
6.060606060606061e-06,-2.16301936e-05
5.909090909090909e-06,-2.23798518e-05
5.757575757575758e-06,-2.28186844e-05
5.606060606060606e-06,-2.17834602e-05
5.454545454545455e-06,-2.1155877e-05
5.303030303030304e-06,-2.18380939e-05
5.151515151515152e-06,-2.22991929e-05
5e-06,-2.227217e-05
4.848484848484849e-06,-2.18625336e-05
4.696969696969697e-06,-2.18432061e-05
4.5454545454545455e-06,-2.28038814e-05
4.393939393939394e-06,-2.22275829e-05
4.242424242424242e-06,-2.22948464e-05
4.0909090909090915e-06,-2.09651851e-05
3.93939393939394e-06,-2.12892283e-05
3.7878787878787882e-06,-2.3049029e-05
3.6363636363636366e-06,-2.29888732e-05
3.484848484848485e-06,-2.20153903e-05
3.3333333333333333e-06,-2.18309862e-05
3.181818181818182e-06,-2.21905134e-05
3.0303030303030305e-06,-2.21076812e-05
2.878787878787879e-06,-2.25315329e-05
2.7272727272727276e-06,-2.1370065e-05
2.575757575757576e-06,-2.24902947e-05
2.4242424242424244e-06,-2.1370065e-05
2.2727272727272728e-06,-2.26751087e-05
2.121212121212121e-06,-2.15688622e-05
1.96969696969697e-06,-2.24786626e-05
1.8181818181818183e-06,-2.12357702e-05
1.6666666666666667e-06,-2.21270087e-05
1.5151515151515152e-06,-2.14897888e-05
1.3636363636363638e-06,-2.22230585e-05
1.2121212121212122e-06,-2.12215549e-05
1.0606060606060606e-06,-2.11434792e-05
9.090909090909091e-07,-2.24482908e-05
7.575757575757576e-07,-2.19629299e-05
6.060606060606061e-07,-2.25080367e-05
4.5454545454545457e-07,-2.16266669e-05
3.0303030303030305e-07,-2.21451607e-05
1.5151515151515152e-07,-2.25046878e-05
0.0,-2.17284166e-05
-1.5151515151515152e-07,-2.27664019e-05
-3.0303030303030305e-07,-2.1453485e-05
-4.5454545454545457e-07,-2.19597589e-05
-6.060606060606061e-07,-2.20800705e-05
-7.575757575757576e-07,-2.22003821e-05
-9.090909090909091e-07,-2.25080367e-05
-1.0606060606060606e-06,-2.18889687e-05
-1.2121212121212122e-06,-2.23037174e-05
-1.3636363636363638e-06,-2.2298783e-05
-1.5151515151515152e-06,-2.24721428e-05
-1.6666666666666667e-06,-2.23550022e-05
-1.8181818181818183e-06,-2.15158141e-05
-1.96969696969697e-06,-2.16751906e-05
-2.121212121212121e-06,-2.24770771e-05
-2.2727272727272728e-06,-2.19404314e-05
-2.4242424242424244e-06,-2.21313553e-05
-2.575757575757576e-06,-2.21376431e-05
-2.7272727272727276e-06,-2.16818883e-05
-2.878787878787879e-06,-2.22628891e-05
-3.0303030303030305e-06,-2.20857705e-05
-3.181818181818182e-06,-2.12550977e-05
-3.3333333333333333e-06,-2.25212543e-05
-3.484848484848485e-06,-2.22833922e-05
-3.6363636363636366e-06,-2.18984275e-05
-3.7878787878787882e-06,-2.14079544e-05
-3.93939393939394e-06,-2.26338705e-05
-4.0909090909090915e-06,-2.14738102e-05
-4.242424242424242e-06,-2.21629027e-05
-4.393939393939394e-06,-2.21220744e-05
-4.5454545454545455e-06,-2.09338156e-05
-4.696969696969697e-06,-2.13379299e-05
-4.848484848484849e-06,-2.11910052e-05
-5e-06,-2.21313553e-05
-5.151515151515152e-06,-2.23064784e-05
-5.303030303030304e-06,-2.22853876e-05
-5.454545454545455e-06,-2.21861668e-05
-5.606060606060606e-06,-2.17250678e-05
-5.757575757575758e-06,-2.18895565e-05
-5.909090909090909e-06,-2.22080775e-05
-6.060606060606061e-06,-2.26729354e-05
-6.212121212121213e-06,-2.1688586e-05
-6.363636363636364e-06,-2.18619458e-05
-6.515151515151516e-06,-2.11817243e-05
-6.666666666666667e-06,-2.23512434e-05
-6.818181818181818e-06,-2.22457348e-05
-6.96969696969697e-06,-2.1340281e-05
-7.1212121212121215e-06,-2.21005736e-05
-7.272727272727273e-06,-2.31584742e-05
-7.424242424242425e-06,-2.20435888e-05
-7.5757575757575764e-06,-2.12474023e-05
-7.727272727272727e-06,-2.2424029e-05
-7.87878787878788e-06,-2.21479217e-05
-8.03030303030303e-06,-2.21893378e-05
-8.181818181818183e-06,-2.28161012e-05
-8.333333333333334e-06,-2.19856063e-05
-8.484848484848485e-06,-2.15262706e-05
-8.636363636363637e-06,-2.25901032e-05
-8.787878787878788e-06,-2.37264894e-05
-8.93939393939394e-06,-2.2165076e-05
-9.090909090909091e-06,-2.13110848e-05
-9.242424242424244e-06,-2.19027741e-05
-9.393939393939394e-06,-2.20751362e-05
-9.545454545454547e-06,-2.27642286e-05
-9.696969696969698e-06,-2.20796606e-05
-9.848484848484848e-06,-2.16964594e-05
-1e-05,-2.20832415e-05
-1.0151515151515152e-05,-2.21341164e-05
-1.0303030303030304e-05,-2.15400759e-05
-1.0454545454545455e-05,-2.23208716e-05
-1.0606060606060607e-05,-2.21274186e-05
-1.0757575757575758e-05,-2.16653219e-05
-1.090909090909091e-05,-2.24625061e-05
-1.1060606060606061e-05,-2.17471564e-05
-1.1212121212121212e-05,-2.19672765e-05
-1.1363636363636365e-05,-2.27194637e-05
-1.1515151515151515e-05,-2.10580639e-05
-1.1666666666666668e-05,-2.32367819e-05
-1.1818181818181819e-05,-2.11474159e-05
-1.1969696969696971e-05,-2.11513525e-05
-1.2121212121212122e-05,-2.19540589e-05
-1.2272727272727273e-05,-2.23112349e-05
-1.2424242424242425e-05,-2.20883537e-05
-1.2575757575757576e-05,-2.25041001e-05
-1.2727272727272728e-05,-2.14093078e-05
-1.287878787878788e-05,-2.2468616e-05
-1.3030303030303032e-05,-2.18337473e-05
-1.3181818181818183e-05,-2.24985779e-05
-1.3333333333333333e-05,-2.23985915e-05
-1.3484848484848486e-05,-2.09399256e-05
-1.3636363636363637e-05,-2.2191689e-05
-1.3787878787878789e-05,-2.25261886e-05
-1.393939393939394e-05,-2.21187255e-05
-1.4090909090909092e-05,-2.1670844e-05
-1.4242424242424243e-05,-2.13953246e-05
-1.4393939393939396e-05,-2.18006144e-05
-1.4545454545454546e-05,-2.20061094e-05
-1.4696969696969697e-05,-2.23356746e-05
-1.484848484848485e-05,-2.21772958e-05
-1.5e-05,-2.22881486e-05
-1.484848484848485e-05,-2.15852508e-05
-1.4696969696969697e-05,-2.25670169e-05
-1.4545454545454546e-05,-2.26581323e-05
-1.4393939393939396e-05,-2.1926626e-05
-1.4242424242424243e-05,-2.11347861e-05
-1.4090909090909092e-05,-2.06543595e-05
-1.393939393939394e-05,-2.20867682e-05
-1.3787878787878789e-05,-2.27906638e-05
-1.3636363636363637e-05,-2.18437939e-05
-1.3484848484848486e-05,-2.12059862e-05
-1.3333333333333333e-05,-2.18929054e-05
-1.3181818181818183e-05,-2.19491245e-05
-1.3030303030303032e-05,-2.22019676e-05
-1.287878787878788e-05,-2.22130119e-05
-1.2727272727272728e-05,-2.19045375e-05
-1.2575757575757576e-05,-2.29800022e-05
-1.2424242424242425e-05,-2.23893106e-05
-1.2272727272727273e-05,-2.09442721e-05
-1.2121212121212122e-05,-2.20039361e-05
-1.1969696969696971e-05,-2.19899528e-05
-1.1818181818181819e-05,-2.21116179e-05
-1.1666666666666668e-05,-2.18816832e-05
-1.1515151515151515e-05,-2.18294007e-05
-1.1363636363636365e-05,-2.1623318e-05
-1.1212121212121212e-05,-2.19759154e-05
-1.1060606060606061e-05,-2.20623285e-05
-1.090909090909091e-05,-2.14280476e-05
-1.0757575757575758e-05,-2.30517901e-05
-1.0606060606060607e-05,-2.14333918e-05
-1.0454545454545455e-05,-2.2858515e-05
-1.0303030303030304e-05,-2.18994252e-05
-1.0151515151515152e-05,-2.18923176e-05
-1e-05,-2.17580228e-05
-9.848484848484848e-06,-2.18984275e-05
-9.696969696969698e-06,-2.219486e-05
-9.545454545454547e-06,-2.19343215e-05
-9.393939393939394e-06,-2.21473339e-05
-9.242424242424244e-06,-2.23948327e-05
-9.090909090909091e-06,-2.24410053e-05
-8.93939393939394e-06,-2.13022138e-05
-8.787878787878788e-06,-2.22070798e-05
-8.636363636363637e-06,-2.24244389e-05
-8.484848484848485e-06,-2.14457896e-05
