"Wavelength (nm)", "Reflectance"
188.78, -3.343894
189.53, -3.849834
190.28, -3.493644
191.03, -2.998193
191.78, -4.322764
192.53, -3.838331
193.28, -3.156388
194.03, -3.912122
194.79, -3.068421
195.54, -2.793426
196.29, -2.778611
197.04, -3.568883
197.79, -3.792549
198.54, -3.851429
199.29, -3.672922
200.04, -3.229945
200.79, -3.557466
201.54, -3.536528
202.29, -3.580404
203.04, -2.659592
203.79, -2.561473
204.54, -3.137909
205.29, -3.401639
206.03, -3.029909
206.78, -2.92365
207.53, -2.733876
208.28, -3.12396
209.03, -2.32753
209.78, -2.408463
210.53, -2.820787
211.28, -3.058472
212.03, -3.534862
212.78, -2.209286
213.52, -3.549142
214.27, -3.123927
215.02, -3.145233
215.77, -1.63924
216.52, -2.911778
217.27, -2.924277
218.02, -3.035307
218.76, -2.312965
219.51, -2.469792
220.26, -3.064616
221.01, -2.800383
221.76, -2.816528
222.5, -2.805225
223.25, -2.47251
224, -3.134557
224.75, -3.372943
225.49, -2.512124
226.24, -3.171948
226.99, -3.38104
227.73, -2.293477
228.48, -2.579875
229.23, -3.284691
229.98, -2.845215
230.72, -2.652462
231.47, -2.568163
232.22, -2.954226
232.96, -2.506274
233.71, -2.676919
234.46, -2.032427
235.2, -2.148723
235.95, -1.248753
236.69, -2.366516
237.44, -3.411455
238.19, -3.560147
238.93, -2.218649
239.68, -1.22032
240.43, -1.84677
241.17, -2.715857
241.92, -2.599332
242.66, -3.044373
243.41, -2.519509
244.15, -2.657376
244.9, -2.37751
245.64, -2.250919
246.39, -2.871231
247.13, -1.618725
247.88, -1.411386
248.62, -1.279533
249.37, -2.772784
250.11, -2.236919
250.86, -1.130777
251.6, -1.539736
252.35, -1.876953
253.09, -1515.473022
253.84, -4.568308
254.58, -4.339901
255.33, -0.645543
256.07, -0.551175
256.82, -0.320455
257.56, -0.251962
258.3, 0.239837
259.05, 0.082365
259.79, -0.011306
260.53, -0.040758
261.28, -0.020261
262.02, -0.204283
262.77, 0.439115
263.51, 0.293402
264.25, 0.170852
265, 0.0874
265.74, 0.131515
266.48, 0.26214
267.23, 0.156575
267.97, 0.093096
268.71, 0.178936
269.45, 0.266996
270.2, 0.416251
270.94, 0.359593
271.68, 0.291771
272.43, 0.360753
273.17, 0.300468
273.91, 0.325263
274.65, 0.356365
275.4, 0.336932
276.14, 0.303247
