"Wavelength (nm)", "Reflectance"
188.78, -3.587946
189.53, -2.629586
190.28, -3.860153
191.03, -2.835365
191.78, -3.140354
192.53, -3.593581
193.28, -3.565017
194.03, -2.644751
194.79, -3.068552
195.54, -2.752019
196.29, -1.834834
197.04, -2.33664
197.79, -2.764111
198.54, -1.918082
199.29, -3.299648
200.04, -3.596041
200.79, -3.264955
201.54, -4.189784
202.29, -3.533509
203.04, -4.258859
203.79, -3.172195
204.54, -3.953969
205.29, -3.764154
206.03, -3.309464
206.78, -2.955564
207.53, -2.35375
208.28, -3.854708
209.03, -4.539023
209.78, -2.808991
210.53, -4.454601
211.28, -3.211308
212.03, -3.481742
212.78, -2.813282
213.52, -2.468152
214.27, -2.494564
215.02, -3.131647
215.77, -3.966042
216.52, -3.308059
217.27, -2.293515
218.02, -3.34869
218.76, -3.036687
219.51, -3.481488
220.26, -3.748135
221.01, -3.032428
221.76, -2.186328
222.5, -3.941405
223.25, -2.171884
224, -3.531902
224.75, -3.073558
225.49, -3.482523
226.24, -2.097582
226.99, -2.105073
227.73, -2.323273
228.48, -2.244587
229.23, -2.991186
229.98, -2.795166
230.72, -1.637558
231.47, -1.958731
232.22, -2.547769
232.96, -2.898648
233.71, -2.672293
234.46, -1.831086
235.2, -2.26482
235.95, -1.641523
236.69, -2.681213
237.44, -2.901307
238.19, -3.483666
238.93, -2.261308
239.68, -2.722913
240.43, -2.20811
241.17, -1.969313
241.92, -2.129595
242.66, -2.094377
243.41, -2.127982
244.15, -2.829448
244.9, -2.146083
245.64, -1.286781
246.39, -2.353378
247.13, -2.61774
247.88, -1.261812
248.62, -1.956838
249.37, -0.633658
250.11, -0.882178
250.86, -0.815796
251.6, -1.433847
252.35, -1.939379
253.09, -1200.44165
253.84, -5.76299
254.58, -3.016387
255.33, -0.461197
256.07, -0.292472
256.82, -0.706581
257.56, -0.238631
258.3, -0.846591
259.05, -0.084803
259.79, -0.135683
260.53, 0.313352
261.28, 0.221536
262.02, 0.227054
262.77, 0.06616
263.51, 0.099087
264.25, 0.211883
265, -0.025746
265.74, 0.163369
266.48, 0.134215
267.23, 0.12769
267.97, 0.167288
268.71, 0.087524
269.45, 0.22272
270.2, 0.279297
270.94, 0.371587
271.68, 0.198059
272.43, 0.297276
273.17, 0.233617
273.91, 0.317923
274.65, 0.342796
275.4, 0.309513
276.14, 0.312173
276.88, 0.282058
277.62, 0.351014
278.36, 0.344426
279.11, 0.359092
279.85, 0.310575
280.59, 0.389832
281.33, 0.353642
282.07, 0.378984
282.81, 0.30719
283.56, 0.348388
284.3, 0.36231
285.04, 0.393054
285.78, 0.365628
286.52, 0.387808
287.26, 0.379591
288, 0.373602
288.74, 0.401691
289.48, 0.420674
290.23, 0.391532
290.97, 0.370869
291.71, 0.376081
292.45, 0.391214
293.19, 0.375613
293.93, 0.378346
294.67, 0.386414
295.41, 0.376612
296.15, 0.39484
296.89, 0.388657
297.63, 0.386995
298.37, 0.40456
299.11, 0.386213
299.85, 0.395543
300.59, 0.406421
301.33, 0.387265
302.07, 0.385612
302.81, 0.398043
303.55, 0.388336
304.29, 0.391595
305.02, 0.3875
305.76, 0.399766
306.5, 0.386355
307.24, 0.397274
307.98, 0.383062
308.72, 0.388743
309.46, 0.392629
310.2, 0.387417
310.94, 0.393946
311.68, 0.386725
312.41, 0.389595
313.15, 0.396031
313.89, 0.383383
314.63, 0.390513
315.37, 0.396368
316.11, 0.396546
316.84, 0.401121
317.58, 0.388684
318.32, 0.384574
319.06, 0.383491
319.79, 0.384147
320.53, 0.389961
321.27, 0.394486
322.01, 0.39356
322.74, 0.391552
323.48, 0.384448
324.22, 0.385916
324.96, 0.384835
325.69, 0.384571
326.43, 0.387801
327.17, 0.387272
327.91, 0.389233
328.64, 0.383995
329.38, 0.386276
330.12, 0.388131
330.85, 0.3892
331.59, 0.384428
332.33, 0.384281
333.06, 0.383617
333.8, 0.384992
334.53, 0.389431
335.27, 0.384692
336.01, 0.386634
336.74, 0.383112
337.48, 0.375639
338.21, 0.377699
338.95, 0.380745
339.69, 0.381605
340.42, 0.380657
341.16, 0.378601
341.89, 0.377717
342.63, 0.378962
343.36, 0.37846
344.1, 0.379222
344.83, 0.382324
345.57, 0.376351
346.3, 0.378428
347.04, 0.377066
347.77, 0.371833
348.51, 0.373239
349.24, 0.37489
349.98, 0.374616
350.71, 0.372068
351.45, 0.371526
352.18, 0.37305
352.92, 0.374549
353.65, 0.371087
354.39, 0.36955
355.12, 0.371021
355.85, 0.371886
356.59, 0.372759
357.32, 0.373503
358.06, 0.370505
358.79, 0.369563
359.52, 0.37199
360.26, 0.370966
360.99, 0.36879
361.72, 0.367815
362.46, 0.367045
363.19, 0.369041
363.92, 0.368727
364.66, 0.367013
365.39, 0.361668
366.12, 0.359949
366.86, 0.360321
367.59, 0.360792
368.32, 0.359944
369.06, 0.359344
369.79, 0.357668
370.52, 0.357302
371.25, 0.357196
371.99, 0.354595
372.72, 0.353252
373.45, 0.3519
374.18, 0.351865
374.91, 0.352874
375.65, 0.351793
376.38, 0.348519
377.11, 0.346707
377.84, 0.346623
378.57, 0.348092
379.31, 0.348134
380.04, 0.345505
380.77, 0.344708
381.5, 0.346414
382.23, 0.346205
382.96, 0.344953
383.7, 0.344314
384.43, 0.344361
385.16, 0.344619
385.89, 0.344387
386.62, 0.344255
387.35, 0.34179
388.08, 0.340452
388.81, 0.340285
389.54, 0.341144
390.27, 0.34101
391, 0.340245
391.74, 0.340361
392.47, 0.341047
393.2, 0.340015
393.93, 0.339334
394.66, 0.339215
395.39, 0.338889
396.12, 0.337962
396.85, 0.337131
397.58, 0.336162
398.31, 0.335361
399.04, 0.335218
399.77, 0.335187
400.5, 0.334307
401.22, 0.333563
401.95, 0.3326
402.68, 0.332162
403.41, 0.331936
404.14, 0.330569
404.87, 0.329879
405.6, 0.329277
406.33, 0.328872
407.06, 0.328984
407.79, 0.328002
408.52, 0.327552
409.24, 0.327708
409.97, 0.326228
410.7, 0.324149
411.43, 0.322631
412.16, 0.321614
412.89, 0.32056
413.62, 0.319711
414.34, 0.318179
415.07, 0.317583
415.8, 0.317604
416.53, 0.316614
417.26, 0.315006
417.98, 0.314091
418.71, 0.313851
419.44, 0.312589
420.17, 0.310437
420.89, 0.309003
421.62, 0.308271
422.35, 0.306981
423.08, 0.305354
423.8, 0.304112
424.53, 0.302402
425.26, 0.300203
425.99, 0.29859
426.71, 0.296955
427.44, 0.294907
428.17, 0.293145
428.89, 0.291492
429.62, 0.289301
430.35, 0.286621
431.07, 0.283107
431.8, 0.279181
432.53, 0.275052
433.25, 0.270975
433.98, 0.266623
434.7, 0.262072
435.43, 0.257305
436.16, 0.252504
436.88, 0.247877
437.61, 0.24346
438.33, 0.238356
439.06, 0.23297
439.79, 0.228098
440.51, 0.223424
441.24, 0.219415
441.96, 0.216419
442.69, 0.213546
443.41, 0.210453
444.14, 0.208439
444.86, 0.207426
445.59, 0.207058
446.31, 0.206746
447.04, 0.207216
447.76, 0.208717
448.49, 0.211253
449.21, 0.214525
449.94, 0.21882
450.66, 0.223847
451.39, 0.229424
452.11, 0.235543
452.84, 0.242572
453.56, 0.25012
454.28, 0.258954
455.01, 0.268683
455.73, 0.278772
456.46, 0.288412
457.18, 0.298682
457.9, 0.309592
458.63, 0.320943
459.35, 0.332599
460.08, 0.34426
460.8, 0.355427
461.52, 0.366685
462.25, 0.378397
462.97, 0.389829
463.69, 0.401136
464.42, 0.411621
465.14, 0.421738
465.86, 0.431447
466.58, 0.4413
467.31, 0.450716
468.03, 0.460109
468.75, 0.469625
469.48, 0.478518
470.2, 0.48707
470.92, 0.495352
471.64, 0.502746
472.37, 0.509954
473.09, 0.516994
473.81, 0.523791
474.53, 0.529539
475.25, 0.535486
475.98, 0.541434
476.7, 0.547667
477.42, 0.553411
478.14, 0.558936
478.86, 0.563393
479.59, 0.567453
480.31, 0.570979
481.03, 0.575096
481.75, 0.579097
482.47, 0.583607
483.19, 0.587837
483.91, 0.591853
484.64, 0.595554
485.36, 0.599403
486.08, 0.603405
486.8, 0.60651
487.52, 0.608937
488.24, 0.611395
488.96, 0.614068
489.68, 0.616032
490.4, 0.617071
491.12, 0.618097
491.84, 0.619367
492.56, 0.620622
493.28, 0.622142
494, 0.624282
494.72, 0.626935
495.44, 0.628946
496.16, 0.630574
496.88, 0.632283
497.6, 0.634088
498.32, 0.635945
499.04, 0.636633
499.76, 0.637511
500.48, 0.637675
501.2, 0.63805
501.92, 0.636978
502.64, 0.636392
503.36, 0.635869
504.08, 0.635325
504.8, 0.634802
505.52, 0.634598
506.24, 0.636547
506.96, 0.637716
507.67, 0.638882
508.39, 0.639626
509.11, 0.641556
509.83, 0.643904
510.55, 0.645613
511.27, 0.647075
511.99, 0.64798
512.7, 0.647509
513.42, 0.647035
514.14, 0.646237
514.86, 0.645515
515.58, 0.644086
516.3, 0.642393
517.01, 0.641707
517.73, 0.641107
518.45, 0.640822
519.17, 0.639921
519.88, 0.638523
520.6, 0.636158
521.32, 0.632386
522.04, 0.628186
522.75, 0.62326
523.47, 0.618424
524.19, 0.612458
524.91, 0.606165
525.62, 0.59928
526.34, 0.592372
527.06, 0.584525
527.77, 0.575637
528.49, 0.566093
529.21, 0.556223
529.92, 0.546216
530.64, 0.535547
531.36, 0.524255
532.07, 0.512667
532.79, 0.500474
533.51, 0.488073
534.22, 0.475234
534.94, 0.462238
535.65, 0.449007
536.37, 0.435173
537.09, 0.421076
537.8, 0.407419
538.52, 0.394139
539.23, 0.381548
539.95, 0.369162
540.66, 0.357384
541.38, 0.346569
542.1, 0.336581
542.81, 0.32732
543.53, 0.31885
544.24, 0.311627
544.96, 0.305968
545.67, 0.302086
546.39, 0.300029
547.1, 0.299794
547.82, 0.301342
548.53, 0.304528
549.25, 0.309639
549.96, 0.316487
550.67, 0.325125
551.39, 0.335413
552.1, 0.347126
552.82, 0.360228
553.53, 0.374745
554.25, 0.390074
554.96, 0.406499
555.67, 0.423247
556.39, 0.440407
557.1, 0.457652
557.82, 0.475079
558.53, 0.492428
559.24, 0.509484
559.96, 0.526194
560.67, 0.542361
561.38, 0.558008
562.1, 0.572732
562.81, 0.586378
563.52, 0.599198
564.24, 0.61157
564.95, 0.623664
565.66, 0.635342
566.38, 0.646481
567.09, 0.656953
567.8, 0.667079
568.52, 0.676431
569.23, 0.685548
569.94, 0.694567
570.65, 0.703605
571.37, 0.712642
572.08, 0.721466
572.79, 0.729932
573.5, 0.738525
574.21, 0.747428
574.93, 0.756087
575.64, 0.764602
576.35, 0.772466
577.06, 0.7796
577.77, 0.786263
578.49, 0.79236
579.2, 0.797658
579.91, 0.802483
580.62, 0.806194
581.33, 0.80851
582.04, 0.809126
582.76, 0.806929
583.47, 0.801322
584.18, 0.790885
584.89, 0.773484
585.6, 0.74752
586.31, 0.712131
587.02, 0.668928
587.73, 0.622645
588.44, 0.579952
589.15, 0.547825
589.86, 0.531515
590.58, 0.533376
591.29, 0.551911
592, 0.582327
592.71, 0.618598
593.42, 0.654705
594.13, 0.686278
594.84, 0.711134
595.55, 0.728625
596.26, 0.738991
596.97, 0.742811
597.68, 0.74048
598.39, 0.732437
599.1, 0.718828
599.81, 0.699748
600.52, 0.675643
601.22, 0.647333
601.93, 0.616331
602.64, 0.585026
603.35, 0.5565
604.06, 0.533779
604.77, 0.519851
605.48, 0.516422
606.19, 0.523579
606.9, 0.540026
607.61, 0.563884
608.32, 0.591911
609.02, 0.621572
609.73, 0.650187
610.44, 0.67612
611.15, 0.698509
611.86, 0.716832
612.57, 0.730978
613.27, 0.74168
613.98, 0.749137
614.69, 0.753524
615.4, 0.755212
616.11, 0.754091
616.81, 0.750233
617.52, 0.743306
618.23, 0.733829
618.94, 0.72206
619.65, 0.708129
620.35, 0.691924
621.06, 0.673962
621.77, 0.654616
622.47, 0.634425
623.18, 0.614745
623.89, 0.596951
624.6, 0.582089
625.3, 0.571959
626.01, 0.567216
626.72, 0.568426
627.42, 0.575775
628.13, 0.588431
628.84, 0.60499
629.54, 0.624956
630.25, 0.646339
630.96, 0.668132
631.66, 0.689248
632.37, 0.708888
633.08, 0.726753
