"Wavelength (nm)", "Reflectance"
188.78, -3.440559
189.53, -3.092292
190.28, -3.020525
191.03, -3.461737
191.78, -3.359513
192.53, -2.83341
193.28, -3.130971
194.03, -2.905389
194.79, -3.329423
195.54, -3.09604
196.29, -3.327835
197.04, -3.790805
197.79, -3.399325
198.54, -3.622695
199.29, -3.239005
200.04, -4.317654
200.79, -3.5354
201.54, -3.021095
202.29, -2.530181
203.04, -3.626884
203.79, -2.664678
204.54, -3.529806
205.29, -3.135133
206.03, -3.175611
206.78, -2.987434
207.53, -3.00394
208.28, -3.76483
209.03, -2.145802
209.78, -2.186111
210.53, -2.59896
211.28, -3.207206
212.03, -3.807336
212.78, -2.852
213.52, -2.836395
214.27, -3.233317
215.02, -3.460423
215.77, -3.474315
216.52, -3.268929
217.27, -2.994436
218.02, -2.530967
218.76, -2.917998
219.51, -3.116202
220.26, -2.889755
221.01, -2.297126
221.76, -3.011856
222.5, -2.30263
223.25, -2.134557
224, -2.879111
224.75, -2.421267
225.49, -1.84833
226.24, -3.08167
226.99, -1.904134
227.73, -3.465893
228.48, -2.937512
229.23, -2.386509
229.98, -2.757286
230.72, -2.444387
231.47, -2.120029
232.22, -4.105456
232.96, -3.255177
233.71, -3.145421
234.46, -2.855443
235.2, -3.719678
235.95, -2.895029
236.69, -2.71198
237.44, -2.694767
238.19, -2.3713
238.93, -1.933737
239.68, -2.708877
240.43, -1.164885
241.17, -2.388559
241.92, -2.310312
242.66, -3.073648
243.41, -2.709167
244.15, -2.242671
244.9, -2.365689
245.64, -2.279407
246.39, -2.490865
247.13, -2.057095
247.88, -1.93338
248.62, -2.29903
249.37, -2.344034
250.11, -0.933047
250.86, -2.158649
251.6, -1.440814
252.35, -1.148371
253.09, -903.468567
253.84, -4.268735
254.58, -3.710413
255.33, -0.919847
256.07, -1.005503
256.82, 0.01266
257.56, -0.299798
258.3, -0.46614
259.05, -0.384987
259.79, -0.070315
260.53, 0.081999
261.28, 0.086701
262.02, 0.187988
262.77, 0.086797
263.51, 0.043333
264.25, 0.082462
265, 0.21543
265.74, 0.091879
266.48, 0.313953
267.23, 0.191501
267.97, 0.184967
268.71, 0.380326
269.45, 0.374616
270.2, 0.42272
270.94, 0.245831
271.68, 0.309997
272.43, 0.299197
273.17, 0.257233
273.91, 0.283968
274.65, 0.323468
275.4, 0.349675
276.14, 0.347379
276.88, 0.303215
277.62, 0.388527
278.36, 0.372311
279.11, 0.32337
279.85, 0.324874
280.59, 0.347472
281.33, 0.34732
282.07, 0.34455
282.81, 0.366372
283.56, 0.325021
284.3, 0.333217
285.04, 0.362222
285.78, 0.3762
286.52, 0.38042
287.26, 0.383197
288, 0.385788
288.74, 0.372036
289.48, 0.37021
290.23, 0.382792
290.97, 0.395856
291.71, 0.368043
292.45, 0.410398
293.19, 0.408177
293.93, 0.373618
294.67, 0.387523
295.41, 0.400903
296.15, 0.395156
296.89, 0.389557
