#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '239188.3166559936'
# counts_expected_std_err: '434.2460830872603'
# input_file: 00_20_maxpol_1575nm.dat
# input_file_sha1hash: 4defae36cf2b4158702cba57cde5de3c1c89afbc
# nonlinear_yaml: 11_03_console_nonlinear_1575nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 10ef5ae518deec9b38c196263ff0dcef66c43967
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_51_console_switch_cal_1575nm.dat
# switch_file_sha1hash: 5e8d132c1fab83a4dc80b317012926ee30c148ca
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000005
0.3300, 0.000048, 0.000020
0.3400, 0.000439, 0.000056
0.3500, 0.003529, 0.000185
0.3600, 0.018763, 0.000359
0.3700, 0.068740, 0.000741
0.3800, 0.174927, 0.001410
0.3900, 0.329560, 0.001820
0.4000, 0.492711, 0.002133
0.4100, 0.627859, 0.002469
0.4200, 0.722563, 0.002805
0.4300, 0.787057, 0.002761
0.4400, 0.832785, 0.003054
0.4500, 0.866659, 0.002874
0.4600, 0.887446, 0.003140
0.4700, 0.901243, 0.002959
0.4800, 0.911462, 0.003013
0.4900, 0.918827, 0.003482
0.5000, 0.924087, 0.003013
0.5100, 0.925938, 0.003318
0.5200, 0.929458, 0.003150
0.5300, 0.929423, 0.003410
