#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '239188.3166559936'
# counts_expected_std_err: '434.2460830872603'
# input_file: 00_20_minpol_1575nm.dat
# input_file_sha1hash: ae58664eff1e86bcf6b01a18d2f7f6d3c5b3a1d1
# nonlinear_yaml: 11_03_console_nonlinear_1575nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 10ef5ae518deec9b38c196263ff0dcef66c43967
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_51_console_switch_cal_1575nm.dat
# switch_file_sha1hash: 5e8d132c1fab83a4dc80b317012926ee30c148ca
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000004, 0.000005
0.3300, 0.000043, 0.000018
0.3400, 0.000449, 0.000064
0.3500, 0.003506, 0.000157
0.3600, 0.018635, 0.000343
0.3700, 0.068143, 0.000772
0.3800, 0.172904, 0.001387
0.3900, 0.327171, 0.001625
0.4000, 0.491106, 0.002323
0.4100, 0.625194, 0.002258
0.4200, 0.720833, 0.002414
0.4300, 0.785064, 0.002784
0.4400, 0.831981, 0.003380
0.4500, 0.863029, 0.003104
0.4600, 0.885364, 0.002967
0.4700, 0.899084, 0.003175
0.4800, 0.909014, 0.002804
0.4900, 0.916705, 0.003106
0.5000, 0.921406, 0.003294
0.5100, 0.925192, 0.002809
0.5200, 0.926039, 0.003220
0.5300, 0.927246, 0.002967
0.5400, 0.926773, 0.003412
