#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0132+/-0.0014
# counts_expected: '240862.95188192916'
# counts_expected_std_err: '530.1118431387981'
# input_file: 01_21_maxpol_1570nm.dat
# input_file_sha1hash: 52d4dac492af8daaa7385b4343143f6d68ba1d2d
# nonlinear_yaml: 08_53_console_nonlinear_1570nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 650e36695a1d27fe4363f229811cab49df7b6c67
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_11_console_switch_cal_1570nm.dat
# switch_file_sha1hash: 7006b108d7316a83aad08cd93c31869c4b05632b
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000006
0.3300, 0.000053, 0.000020
0.3400, 0.000492, 0.000059
0.3500, 0.003678, 0.000172
0.3600, 0.019313, 0.000458
0.3700, 0.070528, 0.000870
0.3800, 0.177019, 0.001529
0.3900, 0.332510, 0.001815
0.4000, 0.495581, 0.002349
0.4100, 0.629042, 0.002596
0.4200, 0.724475, 0.002525
0.4300, 0.789410, 0.003311
0.4400, 0.835991, 0.003104
0.4500, 0.868895, 0.003245
0.4600, 0.890498, 0.003440
0.4700, 0.904438, 0.003364
0.4800, 0.914030, 0.003284
0.4900, 0.921592, 0.003248
0.5000, 0.927707, 0.003745
0.5100, 0.929962, 0.003578
0.5200, 0.933067, 0.003600
0.5300, 0.933739, 0.003315
0.5400, 0.932260, 0.003661
