#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0132+/-0.0014
# counts_expected: '240862.95188192916'
# counts_expected_std_err: '530.1118431387981'
# input_file: 01_21_minpol_1570nm.dat
# input_file_sha1hash: 26b715d07470bd5bbc6d019f855c41abc4fd3da6
# nonlinear_yaml: 08_53_console_nonlinear_1570nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 650e36695a1d27fe4363f229811cab49df7b6c67
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_11_console_switch_cal_1570nm.dat
# switch_file_sha1hash: 7006b108d7316a83aad08cd93c31869c4b05632b
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000003, 0.000005
0.3300, 0.000045, 0.000019
0.3400, 0.000453, 0.000071
0.3500, 0.003661, 0.000180
0.3600, 0.019223, 0.000381
0.3700, 0.069775, 0.000677
0.3800, 0.176292, 0.001308
0.3900, 0.330914, 0.001662
0.4000, 0.494291, 0.002049
0.4100, 0.628357, 0.002990
0.4200, 0.722699, 0.002979
0.4300, 0.788215, 0.002902
0.4400, 0.834671, 0.002903
0.4500, 0.866112, 0.002992
0.4600, 0.889583, 0.003408
0.4700, 0.901627, 0.003264
0.4800, 0.912011, 0.003467
0.4900, 0.918655, 0.003591
0.5000, 0.925272, 0.003298
0.5100, 0.925480, 0.003502
0.5200, 0.928116, 0.003565
0.5300, 0.928764, 0.003305
0.5400, 0.929836, 0.003807
