#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0135+/-0.0014
# counts_expected: '239257.98638496472'
# counts_expected_std_err: '594.3230272519148'
# input_file: 02_21_maxpol_1565nm.dat
# input_file_sha1hash: 28bb54d2568dfc37fc59f1d9bf147d9052bbe8ea
# nonlinear_yaml: 06_43_console_nonlinear_1565nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 45f88b28b192820eeb9a21ceefaea6604f3e054c
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 15_31_console_switch_cal_1565nm.dat
# switch_file_sha1hash: 6d6deef82d1f53678a813dae003ba3f43b3a85b3
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000005
0.3300, 0.000046, 0.000020
0.3400, 0.000497, 0.000064
0.3500, 0.003719, 0.000185
0.3600, 0.019831, 0.000496
0.3700, 0.070773, 0.000756
0.3800, 0.178669, 0.001166
0.3900, 0.334536, 0.001631
0.4000, 0.499012, 0.002201
0.4100, 0.633252, 0.002830
0.4200, 0.730171, 0.003021
0.4300, 0.795249, 0.003046
0.4400, 0.842270, 0.003190
0.4500, 0.874595, 0.003671
0.4600, 0.896123, 0.003226
0.4700, 0.909751, 0.003595
0.4800, 0.920265, 0.003644
0.4900, 0.927789, 0.003677
0.5000, 0.932730, 0.003564
0.5100, 0.935998, 0.004002
0.5200, 0.937981, 0.004149
0.5300, 0.938232, 0.003785
0.5400, 0.937429, 0.004271
