#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0135+/-0.0014
# counts_expected: '239257.98638496472'
# counts_expected_std_err: '594.3230272519148'
# input_file: 02_21_minpol_1565nm.dat
# input_file_sha1hash: 795a8f1e8e304e62675bbaa2e54d700c5833986f
# nonlinear_yaml: 06_43_console_nonlinear_1565nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 45f88b28b192820eeb9a21ceefaea6604f3e054c
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 15_31_console_switch_cal_1565nm.dat
# switch_file_sha1hash: 6d6deef82d1f53678a813dae003ba3f43b3a85b3
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000005, 0.000006
0.3300, 0.000048, 0.000019
0.3400, 0.000499, 0.000061
0.3500, 0.003858, 0.000138
0.3600, 0.019907, 0.000413
0.3700, 0.071569, 0.000790
0.3800, 0.179987, 0.001554
0.3900, 0.334434, 0.001680
0.4000, 0.498663, 0.002235
0.4100, 0.633347, 0.002667
0.4200, 0.729012, 0.002927
0.4300, 0.795368, 0.003042
0.4400, 0.841556, 0.003089
0.4500, 0.872713, 0.003234
0.4600, 0.895138, 0.003496
0.4700, 0.910332, 0.003373
0.4800, 0.919515, 0.003459
0.4900, 0.925700, 0.003798
0.5000, 0.931467, 0.003617
0.5100, 0.934162, 0.003559
0.5200, 0.936969, 0.003608
0.5300, 0.936485, 0.003635
0.5400, 0.936933, 0.003872
