#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0138+/-0.0014
# counts_expected: '240629.20952242942'
# counts_expected_std_err: '487.964915608244'
# input_file: 03_21_maxpol_1560nm.dat
# input_file_sha1hash: 97508c19ea32450bc139509de3ea7edcfbb0e76f
# nonlinear_yaml: 04_33_console_nonlinear_1560nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 3857a930a334d9a9e5e5d2f8da194c984fa60660
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_50_console_switch_cal_1560nm.dat
# switch_file_sha1hash: 18ad6cee721d2936ba200d53007696e3adf61f26
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000001, 0.000002
0.3200, 0.000005, 0.000006
0.3300, 0.000044, 0.000018
0.3400, 0.000517, 0.000067
0.3500, 0.004046, 0.000181
0.3600, 0.020788, 0.000413
0.3700, 0.074178, 0.001012
0.3800, 0.184755, 0.001296
0.3900, 0.341926, 0.001730
0.4000, 0.506851, 0.002264
0.4100, 0.640892, 0.002418
0.4200, 0.738063, 0.002808
0.4300, 0.802705, 0.002842
0.4400, 0.850020, 0.002820
0.4500, 0.882999, 0.002807
0.4600, 0.905542, 0.002976
0.4700, 0.919903, 0.003334
0.4800, 0.929953, 0.003318
0.4900, 0.937256, 0.003081
0.5000, 0.941751, 0.003633
0.5100, 0.945304, 0.003454
0.5200, 0.947156, 0.003601
0.5300, 0.947681, 0.003236
0.5400, 0.947901, 0.003147
