#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0138+/-0.0014
# counts_expected: '240629.20952242942'
# counts_expected_std_err: '487.964915608244'
# input_file: 03_21_minpol_1560nm.dat
# input_file_sha1hash: 4ba3ea6bf40755d6289bc8c43e32e6ef1fee03ee
# nonlinear_yaml: 04_33_console_nonlinear_1560nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 3857a930a334d9a9e5e5d2f8da194c984fa60660
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_50_console_switch_cal_1560nm.dat
# switch_file_sha1hash: 18ad6cee721d2936ba200d53007696e3adf61f26
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000002, 0.000004
0.3300, 0.000047, 0.000020
0.3400, 0.000563, 0.000065
0.3500, 0.004087, 0.000168
0.3600, 0.020919, 0.000460
0.3700, 0.074481, 0.000712
0.3800, 0.184733, 0.001265
0.3900, 0.341905, 0.001583
0.4000, 0.505896, 0.002131
0.4100, 0.640859, 0.002366
0.4200, 0.737641, 0.002568
0.4300, 0.802497, 0.002885
0.4400, 0.848744, 0.003038
0.4500, 0.881648, 0.002988
0.4600, 0.902903, 0.003067
0.4700, 0.918680, 0.002933
0.4800, 0.928183, 0.003917
0.4900, 0.936437, 0.003564
0.5000, 0.940547, 0.003901
0.5100, 0.943602, 0.003129
0.5200, 0.947058, 0.003140
0.5300, 0.946534, 0.003290
0.5400, 0.947749, 0.003578
