#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0140+/-0.0014
# counts_expected: '238590.81403039652'
# counts_expected_std_err: '493.7071596742531'
# input_file: 04_22_maxpol_1555nm.dat
# input_file_sha1hash: fb406e3971a98757b1ef2584fc78d2b5a66b01a1
# nonlinear_yaml: 02_23_console_nonlinear_1555nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 9f6081400d33b1e4f4ea19b2fbef4ad065624bcf
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_10_console_switch_cal_1555nm.dat
# switch_file_sha1hash: 16114fb5a9a957bdf6a2623a25d62103cabf4b89
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000004, 0.000006
0.3300, 0.000051, 0.000019
0.3400, 0.000541, 0.000058
0.3500, 0.004181, 0.000160
0.3600, 0.021368, 0.000396
0.3700, 0.074906, 0.000853
0.3800, 0.184647, 0.001280
0.3900, 0.342244, 0.001517
0.4000, 0.507672, 0.002174
0.4100, 0.642044, 0.002580
0.4200, 0.739813, 0.002689
0.4300, 0.805219, 0.002885
0.4400, 0.851971, 0.003086
0.4500, 0.884061, 0.002787
0.4600, 0.905289, 0.003242
0.4700, 0.921226, 0.003395
0.4800, 0.930712, 0.003221
0.4900, 0.937789, 0.003515
0.5000, 0.942298, 0.003419
0.5100, 0.946172, 0.003410
0.5200, 0.947220, 0.003116
0.5300, 0.948765, 0.003348
0.5400, 0.948876, 0.003474
