#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0140+/-0.0014
# counts_expected: '238590.81403039652'
# counts_expected_std_err: '493.7071596742531'
# input_file: 04_22_minpol_1555nm.dat
# input_file_sha1hash: a97ab8effc828bb58c589d8cf5f9bf0238cfa41b
# nonlinear_yaml: 02_23_console_nonlinear_1555nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 9f6081400d33b1e4f4ea19b2fbef4ad065624bcf
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_10_console_switch_cal_1555nm.dat
# switch_file_sha1hash: 16114fb5a9a957bdf6a2623a25d62103cabf4b89
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000004, 0.000006
0.3300, 0.000054, 0.000020
0.3400, 0.000552, 0.000061
0.3500, 0.004145, 0.000180
0.3600, 0.021331, 0.000400
0.3700, 0.074444, 0.000743
0.3800, 0.184133, 0.001060
0.3900, 0.342189, 0.001779
0.4000, 0.506323, 0.002125
0.4100, 0.642394, 0.002390
0.4200, 0.737621, 0.002842
0.4300, 0.804580, 0.002761
0.4400, 0.850467, 0.002912
0.4500, 0.883508, 0.003160
0.4600, 0.905363, 0.003136
0.4700, 0.918962, 0.003038
0.4800, 0.929051, 0.003145
0.4900, 0.936819, 0.003249
0.5000, 0.941849, 0.003156
0.5100, 0.944051, 0.003344
0.5200, 0.947536, 0.003360
0.5300, 0.947461, 0.003714
