#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '240385.65169742005'
# counts_expected_std_err: '607.9635910662197'
# input_file: 05_23_maxpol_1550nm.dat
# input_file_sha1hash: be054189e93850b65b62b3d0e222b5555bc520b2
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000005
0.3300, 0.000057, 0.000019
0.3400, 0.000595, 0.000054
0.3500, 0.004348, 0.000200
0.3600, 0.021926, 0.000481
0.3700, 0.076042, 0.000927
0.3800, 0.186705, 0.001556
0.3900, 0.342095, 0.001941
0.4000, 0.504442, 0.002532
0.4100, 0.638096, 0.002406
0.4200, 0.732346, 0.003253
0.4300, 0.796357, 0.003149
0.4400, 0.842065, 0.003054
0.4500, 0.873460, 0.003575
0.4600, 0.895378, 0.003738
0.4700, 0.910285, 0.003696
0.4800, 0.919646, 0.003828
0.4900, 0.927726, 0.003854
0.5000, 0.932639, 0.003631
0.5100, 0.935352, 0.003634
0.5200, 0.937871, 0.003602
0.5300, 0.937785, 0.003515
