#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '240385.65169742005'
# counts_expected_std_err: '607.9635910662197'
# input_file: 05_23_minpol_1550nm.dat
# input_file_sha1hash: cf64203d06f690093cff785777b7154f535be361
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000005
0.3300, 0.000058, 0.000020
0.3400, 0.000571, 0.000066
0.3500, 0.004296, 0.000197
0.3600, 0.021787, 0.000424
0.3700, 0.075442, 0.000674
0.3800, 0.185062, 0.001340
0.3900, 0.340980, 0.002263
0.4000, 0.503529, 0.002197
0.4100, 0.636652, 0.002531
0.4200, 0.729760, 0.002938
0.4300, 0.795278, 0.002907
0.4400, 0.841216, 0.003120
0.4500, 0.873033, 0.003403
0.4600, 0.894496, 0.003246
0.4700, 0.908173, 0.003347
0.4800, 0.918306, 0.003569
0.4900, 0.925509, 0.003310
0.5000, 0.931822, 0.003533
0.5100, 0.933605, 0.003775
0.5200, 0.936907, 0.003610
0.5300, 0.935796, 0.003608
