#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '239585.53367760885'
# counts_expected_std_err: '512.9415229491677'
# input_file: 06_24_maxpol_1545nm.dat
# input_file_sha1hash: 00d847f4464dbb49470c54cf13388070b3a5b7bb
# nonlinear_yaml: 22_02_console_nonlinear_1545nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: a5bdf15c4b65dc080541c52144cc8d7d55ed51f8
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_50_console_switch_cal_1545nm.dat
# switch_file_sha1hash: 39dbf2504534e5cc1bef44919a9110166f694233
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000005, 0.000006
0.3300, 0.000065, 0.000024
0.3400, 0.000591, 0.000059
0.3500, 0.004502, 0.000197
0.3600, 0.022530, 0.000457
0.3700, 0.078107, 0.000809
0.3800, 0.188569, 0.001411
0.3900, 0.345391, 0.001830
0.4000, 0.508103, 0.002467
0.4100, 0.641837, 0.002478
0.4200, 0.735642, 0.002886
0.4300, 0.801635, 0.003047
0.4400, 0.846431, 0.003041
0.4500, 0.878533, 0.003199
0.4600, 0.899624, 0.003142
0.4700, 0.913588, 0.003019
0.4800, 0.923820, 0.003134
0.4900, 0.932126, 0.003148
0.5000, 0.936072, 0.003130
0.5100, 0.938795, 0.003043
0.5200, 0.942463, 0.003650
0.5300, 0.940527, 0.003635
0.5400, 0.941783, 0.003360
