#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '239585.53367760885'
# counts_expected_std_err: '512.9415229491677'
# input_file: 06_24_minpol_1545nm.dat
# input_file_sha1hash: 62db9a7f55e6b1abaafd70d640207cc938ab448a
# nonlinear_yaml: 22_02_console_nonlinear_1545nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: a5bdf15c4b65dc080541c52144cc8d7d55ed51f8
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_50_console_switch_cal_1545nm.dat
# switch_file_sha1hash: 39dbf2504534e5cc1bef44919a9110166f694233
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000003, 0.000004
0.3300, 0.000060, 0.000018
0.3400, 0.000611, 0.000061
0.3500, 0.004400, 0.000245
0.3600, 0.022686, 0.000415
0.3700, 0.077987, 0.000894
0.3800, 0.188799, 0.001324
0.3900, 0.345086, 0.001778
0.4000, 0.507817, 0.002484
0.4100, 0.641462, 0.002461
0.4200, 0.734738, 0.002764
0.4300, 0.800548, 0.002847
0.4400, 0.846173, 0.003086
0.4500, 0.877509, 0.003153
0.4600, 0.898934, 0.003603
0.4700, 0.913916, 0.002901
0.4800, 0.922765, 0.003293
0.4900, 0.929555, 0.003726
0.5000, 0.934354, 0.003309
0.5100, 0.938089, 0.003697
0.5200, 0.939524, 0.003412
0.5300, 0.940329, 0.003434
0.5400, 0.940238, 0.003334
