#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0119+/-0.0014
# counts_expected: '235057.97449078775'
# counts_expected_std_err: '557.6627162652543'
# input_file: 07_25_maxpol_1540nm.dat
# input_file_sha1hash: 19188474ac266bd8f3f235ad9d43133228a05ffc
# nonlinear_yaml: 19_52_console_nonlinear_1540nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 4520ecdb1841d9789d906c6b6996dc60bce15188
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_09_console_switch_cal_1540nm.dat
# switch_file_sha1hash: e03f8e11d0b666bd72668b8b180ec8529acaa35c
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000004
0.3300, 0.000060, 0.000022
0.3400, 0.000633, 0.000071
0.3500, 0.004605, 0.000189
0.3600, 0.022951, 0.000406
0.3700, 0.078413, 0.000979
0.3800, 0.189366, 0.001361
0.3900, 0.346059, 0.001720
0.4000, 0.509631, 0.002372
0.4100, 0.644175, 0.002727
0.4200, 0.739389, 0.002864
0.4300, 0.804796, 0.002996
0.4400, 0.849851, 0.003367
0.4500, 0.880492, 0.003402
0.4600, 0.902408, 0.003277
0.4700, 0.915718, 0.003649
0.4800, 0.926829, 0.003288
0.4900, 0.933684, 0.003470
0.5000, 0.939056, 0.003866
0.5100, 0.941400, 0.003748
0.5200, 0.944252, 0.003758
0.5300, 0.943797, 0.003477
0.5400, 0.944850, 0.003688
