#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0119+/-0.0014
# counts_expected: '235057.97449078775'
# counts_expected_std_err: '557.6627162652543'
# input_file: 07_25_minpol_1540nm.dat
# input_file_sha1hash: e03af5e7b8c32546c84761d96b10f9e75a9c85b0
# nonlinear_yaml: 19_52_console_nonlinear_1540nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 4520ecdb1841d9789d906c6b6996dc60bce15188
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_09_console_switch_cal_1540nm.dat
# switch_file_sha1hash: e03f8e11d0b666bd72668b8b180ec8529acaa35c
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000001, 0.000003
0.3200, 0.000007, 0.000008
0.3300, 0.000059, 0.000025
0.3400, 0.000620, 0.000072
0.3500, 0.004695, 0.000175
0.3600, 0.023062, 0.000456
0.3700, 0.079146, 0.000938
0.3800, 0.190077, 0.001568
0.3900, 0.346412, 0.001608
0.4000, 0.508854, 0.002451
0.4100, 0.643908, 0.002477
0.4200, 0.738180, 0.002850
0.4300, 0.802723, 0.003096
0.4400, 0.847584, 0.003313
0.4500, 0.878214, 0.003021
0.4600, 0.899970, 0.003297
0.4700, 0.914583, 0.003274
0.4800, 0.924539, 0.003582
0.4900, 0.931233, 0.003473
0.5000, 0.936755, 0.003708
0.5100, 0.939236, 0.003424
0.5200, 0.941916, 0.003528
0.5300, 0.941655, 0.003641
0.5400, 0.941119, 0.003642
