#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0103+/-0.0014
# counts_expected: '235866.15564836966'
# counts_expected_std_err: '444.812174994969'
# input_file: 08_26_maxpol_1535nm.dat
# input_file_sha1hash: f48489054d65de2f8c7f458cc8c6839136ce9222
# nonlinear_yaml: 17_42_console_nonlinear_1535nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 1e61c0941452fa72e22f42bdc45e014a82815333
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 11_29_console_switch_cal_1535nm.dat
# switch_file_sha1hash: 0ff99670bbf6c114b14cf0ef8ba44d25a9fb3cae
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000006, 0.000006
0.3300, 0.000069, 0.000023
0.3400, 0.000667, 0.000072
0.3500, 0.004680, 0.000186
0.3600, 0.023086, 0.000382
0.3700, 0.077992, 0.000735
0.3800, 0.188170, 0.001286
0.3900, 0.344495, 0.001681
0.4000, 0.507963, 0.002542
0.4100, 0.642631, 0.002489
0.4200, 0.737213, 0.002655
0.4300, 0.802093, 0.002678
0.4400, 0.847541, 0.002854
0.4500, 0.878861, 0.002931
0.4600, 0.898786, 0.003378
0.4700, 0.913475, 0.002736
0.4800, 0.922611, 0.003146
0.4900, 0.930564, 0.003559
0.5000, 0.935462, 0.003187
0.5100, 0.937750, 0.003531
0.5200, 0.941106, 0.003573
0.5300, 0.941514, 0.004157
