#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0103+/-0.0014
# counts_expected: '235866.15564836966'
# counts_expected_std_err: '444.812174994969'
# input_file: 08_26_minpol_1535nm.dat
# input_file_sha1hash: 226972e9ee35f5741781b558f8c569c990ba8a98
# nonlinear_yaml: 17_42_console_nonlinear_1535nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 1e61c0941452fa72e22f42bdc45e014a82815333
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 11_29_console_switch_cal_1535nm.dat
# switch_file_sha1hash: 0ff99670bbf6c114b14cf0ef8ba44d25a9fb3cae
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000005, 0.000006
0.3300, 0.000063, 0.000023
0.3400, 0.000686, 0.000064
0.3500, 0.004801, 0.000179
0.3600, 0.023599, 0.000417
0.3700, 0.079812, 0.000767
0.3800, 0.190442, 0.001477
0.3900, 0.346655, 0.001583
0.4000, 0.508258, 0.002253
0.4100, 0.641482, 0.002740
0.4200, 0.734557, 0.002372
0.4300, 0.800180, 0.002662
0.4400, 0.844566, 0.002994
0.4500, 0.875362, 0.003125
0.4600, 0.896310, 0.002931
0.4700, 0.909422, 0.003398
0.4800, 0.919747, 0.002941
0.4900, 0.925992, 0.002978
0.5000, 0.931111, 0.003151
0.5100, 0.934478, 0.003633
0.5200, 0.935912, 0.003284
0.5300, 0.936462, 0.003817
0.5400, 0.936882, 0.003094
