#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0085+/-0.0014
# counts_expected: '229969.67564688824'
# counts_expected_std_err: '547.4786142632807'
# input_file: 09_28_maxpol_1530nm.dat
# input_file_sha1hash: d4cdf47474c01f6dcc3ac9dd64d71f5cb565bf4c
# nonlinear_yaml: 15_32_console_nonlinear_1530nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 321f3d8dd6cb02eb3a4cabd6be3f7137d3747af4
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_49_console_switch_cal_1530nm.dat
# switch_file_sha1hash: b65d2b256bcd320e7aed4430ff9d107c699e3cbc
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000005, 0.000005
0.3300, 0.000063, 0.000023
0.3400, 0.000673, 0.000079
0.3500, 0.004777, 0.000178
0.3600, 0.023407, 0.000393
0.3700, 0.078818, 0.000881
0.3800, 0.189398, 0.001352
0.3900, 0.346511, 0.001734
0.4000, 0.510585, 0.002420
0.4100, 0.645753, 0.002633
0.4200, 0.743016, 0.003329
0.4300, 0.808023, 0.003149
0.4400, 0.852105, 0.003302
0.4500, 0.884451, 0.003056
0.4600, 0.904121, 0.003387
0.4700, 0.918176, 0.003661
0.4800, 0.927317, 0.003500
0.4900, 0.934398, 0.003857
0.5000, 0.939726, 0.003404
0.5100, 0.941608, 0.004516
0.5200, 0.942927, 0.003575
0.5300, 0.943010, 0.003695
