#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0085+/-0.0014
# counts_expected: '229969.67564688824'
# counts_expected_std_err: '547.4786142632807'
# input_file: 09_28_minpol_1530nm.dat
# input_file_sha1hash: 8a63417cd3e7ea6881a8a543528a1f9799abf120
# nonlinear_yaml: 15_32_console_nonlinear_1530nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 321f3d8dd6cb02eb3a4cabd6be3f7137d3747af4
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_49_console_switch_cal_1530nm.dat
# switch_file_sha1hash: b65d2b256bcd320e7aed4430ff9d107c699e3cbc
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000006, 0.000006
0.3300, 0.000067, 0.000026
0.3400, 0.000648, 0.000067
0.3500, 0.004881, 0.000175
0.3600, 0.023571, 0.000498
0.3700, 0.079279, 0.000808
0.3800, 0.189493, 0.001280
0.3900, 0.346694, 0.001710
0.4000, 0.510707, 0.002197
0.4100, 0.646648, 0.002732
0.4200, 0.741476, 0.002765
0.4300, 0.805253, 0.003104
0.4400, 0.849972, 0.003284
0.4500, 0.880189, 0.003451
0.4600, 0.902426, 0.003279
0.4700, 0.915075, 0.003681
0.4800, 0.924911, 0.003477
0.4900, 0.930183, 0.003347
0.5000, 0.935779, 0.003765
0.5100, 0.939937, 0.004087
0.5200, 0.941104, 0.003768
0.5300, 0.941030, 0.003714
0.5400, 0.940558, 0.003704
