#  Calculate SDE 
#
#  Mon Jan 10 09:47:46 2022
#
# config used
# NIST calibration factor: 1.0065+/-0.0014
# counts_expected: '236727.57937421408'
# counts_expected_std_err: '515.1501703587238'
# input_file: 10_30_maxpol_1525nm.dat
# input_file_sha1hash: 0fc8bec0204d6753aeb31ab5ffe4443490a5eb48
# nonlinear_yaml: 13_21_console_nonlinear_1525nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 0bf7679e53818d9121c9a7f03bc635d81221446e
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_09_console_switch_cal_1525nm.dat
# switch_file_sha1hash: 70b3b9463a06c1838d76909d4599e50c9d4396be
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000001, 0.000003
0.3200, 0.000007, 0.000008
0.3300, 0.000058, 0.000022
0.3400, 0.000666, 0.000090
0.3500, 0.004675, 0.000176
0.3600, 0.022938, 0.000453
0.3700, 0.076438, 0.000699
0.3800, 0.183540, 0.001196
0.3900, 0.334061, 0.001826
0.4000, 0.493078, 0.002338
0.4100, 0.624849, 0.002327
0.4200, 0.716921, 0.002616
0.4300, 0.779818, 0.002976
0.4400, 0.822210, 0.003368
0.4500, 0.853197, 0.003022
0.4600, 0.873441, 0.002968
0.4700, 0.887164, 0.003067
0.4800, 0.895325, 0.002967
0.4900, 0.903204, 0.003151
0.5000, 0.908407, 0.003154
0.5100, 0.910654, 0.003540
0.5200, 0.910286, 0.003425
0.5300, 0.904024, 0.009908
0.5400, 0.893340, 0.003752
