#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0065+/-0.0014
# counts_expected: '236727.57937421408'
# counts_expected_std_err: '515.1501703587238'
# input_file: 10_30_minpol_1525nm.dat
# input_file_sha1hash: 68e5339e16150fab39c18132a6054b909118ab8b
# nonlinear_yaml: 13_21_console_nonlinear_1525nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 0bf7679e53818d9121c9a7f03bc635d81221446e
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_09_console_switch_cal_1525nm.dat
# switch_file_sha1hash: 70b3b9463a06c1838d76909d4599e50c9d4396be
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000008, 0.000008
0.3300, 0.000072, 0.000024
0.3400, 0.000662, 0.000066
0.3500, 0.004845, 0.000195
0.3600, 0.023139, 0.000389
0.3700, 0.077452, 0.000986
0.3800, 0.184311, 0.001483
0.3900, 0.334343, 0.001975
0.4000, 0.492685, 0.002501
0.4100, 0.624784, 0.002273
0.4200, 0.715520, 0.002560
0.4300, 0.776422, 0.002914
0.4400, 0.820373, 0.003071
0.4500, 0.850945, 0.002986
0.4600, 0.870282, 0.003470
0.4700, 0.882865, 0.003290
0.4800, 0.892586, 0.003397
0.4900, 0.898227, 0.003176
0.5000, 0.903838, 0.003194
0.5100, 0.905089, 0.003588
0.5200, 0.909300, 0.003491
0.5300, 0.900972, 0.009957
0.5400, 0.890108, 0.003552
