#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '239497.00267798977'
# counts_expected_std_err: '606.0340233548678'
# input_file: 00_22_maxpol_1550nm.dat
# input_file_sha1hash: 03bd6b4e302c893f840bc5e6ab868f644077b555
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000007, 0.000008
0.3400, 0.000112, 0.000029
0.3500, 0.000991, 0.000080
0.3600, 0.006537, 0.000205
0.3700, 0.030668, 0.000448
0.3800, 0.098572, 0.000866
0.3900, 0.223783, 0.001300
0.4000, 0.388969, 0.002558
0.4100, 0.549520, 0.002555
0.4200, 0.672580, 0.002883
0.4300, 0.758283, 0.003031
0.4400, 0.817722, 0.003407
0.4500, 0.858945, 0.003287
0.4600, 0.887892, 0.003730
0.4700, 0.907149, 0.003565
0.4800, 0.921352, 0.003421
0.4900, 0.931622, 0.003580
0.5000, 0.938825, 0.003706
0.5100, 0.944433, 0.003661
0.5200, 0.947712, 0.003786
0.5300, 0.948900, 0.003778
