#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '239497.00267798977'
# counts_expected_std_err: '606.0340233548678'
# input_file: 00_22_minpol_1550nm.dat
# input_file_sha1hash: 91f9126278b6f6f7d8d61bb550a9fd65b8af76c4
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000012, 0.000010
0.3400, 0.000113, 0.000024
0.3500, 0.001007, 0.000076
0.3600, 0.006653, 0.000226
0.3700, 0.030820, 0.000543
0.3800, 0.097814, 0.001002
0.3900, 0.223295, 0.001665
0.4000, 0.387661, 0.001839
0.4100, 0.547463, 0.002340
0.4200, 0.671006, 0.002595
0.4300, 0.756428, 0.003158
0.4400, 0.816588, 0.003309
0.4500, 0.857806, 0.003283
0.4600, 0.885592, 0.003498
0.4700, 0.905053, 0.003499
0.4800, 0.920198, 0.003615
0.4900, 0.930208, 0.003358
0.5000, 0.937772, 0.003569
0.5100, 0.942374, 0.003707
