#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '236980.4325614192'
# counts_expected_std_err: '507.2619262044724'
# input_file: 01_23_maxpol_1545nm.dat
# input_file_sha1hash: 82372b46112ac5ca5fb3d436119833ffcac0aa2c
# nonlinear_yaml: 22_02_console_nonlinear_1545nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: a5bdf15c4b65dc080541c52144cc8d7d55ed51f8
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_50_console_switch_cal_1545nm.dat
# switch_file_sha1hash: 39dbf2504534e5cc1bef44919a9110166f694233
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000002
0.3300, 0.000008, 0.000008
0.3400, 0.000120, 0.000028
0.3500, 0.001060, 0.000090
0.3600, 0.006833, 0.000246
0.3700, 0.031423, 0.000540
0.3800, 0.100000, 0.000938
0.3900, 0.226269, 0.001383
0.4000, 0.392065, 0.002060
0.4100, 0.552289, 0.002506
0.4200, 0.677559, 0.002548
0.4300, 0.763074, 0.002736
0.4400, 0.823421, 0.002782
0.4500, 0.864986, 0.003136
0.4600, 0.893644, 0.003099
0.4700, 0.913982, 0.003543
0.4800, 0.925668, 0.003365
0.4900, 0.937085, 0.003484
0.5000, 0.944167, 0.003182
0.5100, 0.949442, 0.003729
0.5200, 0.954598, 0.004025
0.5300, 0.955944, 0.003707
