#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '236980.4325614192'
# counts_expected_std_err: '507.2619262044724'
# input_file: 01_23_minpol_1545nm.dat
# input_file_sha1hash: 3ade6825827f1761f14ab7c15bffc5020323939c
# nonlinear_yaml: 22_02_console_nonlinear_1545nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: a5bdf15c4b65dc080541c52144cc8d7d55ed51f8
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_50_console_switch_cal_1545nm.dat
# switch_file_sha1hash: 39dbf2504534e5cc1bef44919a9110166f694233
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000009, 0.000009
0.3400, 0.000122, 0.000029
0.3500, 0.001059, 0.000092
0.3600, 0.006893, 0.000258
0.3700, 0.031562, 0.000481
0.3800, 0.099987, 0.000955
0.3900, 0.225785, 0.001328
0.4000, 0.391502, 0.001683
0.4100, 0.551110, 0.002236
0.4200, 0.676575, 0.002505
0.4300, 0.762541, 0.003095
0.4400, 0.821996, 0.003191
0.4500, 0.864743, 0.003502
0.4600, 0.891700, 0.003136
0.4700, 0.912041, 0.003227
0.4800, 0.924606, 0.003311
0.4900, 0.934998, 0.003573
0.5000, 0.942325, 0.003214
0.5100, 0.947486, 0.003343
0.5200, 0.951537, 0.003553
0.5300, 0.953968, 0.003814
