#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0119+/-0.0014
# counts_expected: '233415.64476460472'
# counts_expected_std_err: '553.6133889361961'
# input_file: 02_23_maxpol_1540nm.dat
# input_file_sha1hash: b1629d1378fb1754b3f5627d2d218d1f5f66aaa9
# nonlinear_yaml: 19_52_console_nonlinear_1540nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 4520ecdb1841d9789d906c6b6996dc60bce15188
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_09_console_switch_cal_1540nm.dat
# switch_file_sha1hash: e03f8e11d0b666bd72668b8b180ec8529acaa35c
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000004
0.3300, 0.000008, 0.000009
0.3400, 0.000117, 0.000030
0.3500, 0.001090, 0.000107
0.3600, 0.006936, 0.000229
0.3700, 0.031900, 0.000478
0.3800, 0.100044, 0.000949
0.3900, 0.226350, 0.001359
0.4000, 0.392281, 0.001684
0.4100, 0.554292, 0.002427
0.4200, 0.678878, 0.002694
0.4300, 0.765198, 0.003158
0.4400, 0.823503, 0.003274
0.4500, 0.865827, 0.003201
0.4600, 0.894504, 0.003183
0.4700, 0.912956, 0.003454
0.4800, 0.927889, 0.003367
0.4900, 0.937355, 0.003957
0.5000, 0.945886, 0.003477
0.5100, 0.949822, 0.003565
0.5200, 0.954352, 0.004021
0.5300, 0.955978, 0.003894
