#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0119+/-0.0014
# counts_expected: '233415.64476460472'
# counts_expected_std_err: '553.6133889361961'
# input_file: 02_23_minpol_1540nm.dat
# input_file_sha1hash: 737e8e136a8ce1b891869f1fc47c76601753cbed
# nonlinear_yaml: 19_52_console_nonlinear_1540nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 4520ecdb1841d9789d906c6b6996dc60bce15188
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_09_console_switch_cal_1540nm.dat
# switch_file_sha1hash: e03f8e11d0b666bd72668b8b180ec8529acaa35c
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000010, 0.000009
0.3400, 0.000117, 0.000027
0.3500, 0.001097, 0.000096
0.3600, 0.007020, 0.000258
0.3700, 0.031785, 0.000495
0.3800, 0.100391, 0.000855
0.3900, 0.225575, 0.001451
0.4000, 0.391152, 0.001911
0.4100, 0.552262, 0.002351
0.4200, 0.677369, 0.002831
0.4300, 0.764473, 0.002802
0.4400, 0.823743, 0.002906
0.4500, 0.865312, 0.003737
0.4600, 0.893363, 0.003116
0.4700, 0.912700, 0.003429
0.4800, 0.925248, 0.003566
0.4900, 0.935512, 0.003733
0.5000, 0.943151, 0.004017
0.5100, 0.947960, 0.003607
0.5200, 0.952886, 0.003864
0.5300, 0.954259, 0.003551
0.5400, 0.954099, 0.003940
