#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0103+/-0.0014
# counts_expected: '234832.74913035793'
# counts_expected_std_err: '443.17237819412287'
# input_file: 03_24_maxpol_1535nm.dat
# input_file_sha1hash: 716a0481c26aec361e9680f5eec105409f8fc0ac
# nonlinear_yaml: 17_42_console_nonlinear_1535nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 1e61c0941452fa72e22f42bdc45e014a82815333
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 11_29_console_switch_cal_1535nm.dat
# switch_file_sha1hash: 0ff99670bbf6c114b14cf0ef8ba44d25a9fb3cae
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000012, 0.000009
0.3400, 0.000112, 0.000027
0.3500, 0.001060, 0.000086
0.3600, 0.007005, 0.000212
0.3700, 0.031519, 0.000491
0.3800, 0.098427, 0.000993
0.3900, 0.222465, 0.001319
0.4000, 0.386305, 0.001766
0.4100, 0.548282, 0.002444
0.4200, 0.673489, 0.002304
0.4300, 0.759991, 0.002577
0.4400, 0.818649, 0.002881
0.4500, 0.860020, 0.002896
0.4600, 0.888557, 0.002941
0.4700, 0.907647, 0.003533
0.4800, 0.920387, 0.003350
0.4900, 0.929984, 0.003020
0.5000, 0.937685, 0.003398
0.5100, 0.943283, 0.003440
0.5200, 0.947076, 0.003569
0.5300, 0.948060, 0.003545
