#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0103+/-0.0014
# counts_expected: '234832.74913035793'
# counts_expected_std_err: '443.17237819412287'
# input_file: 03_24_minpol_1535nm.dat
# input_file_sha1hash: 67a863f3b2b8992cbbe7efab4efeeab8989a157e
# nonlinear_yaml: 17_42_console_nonlinear_1535nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 1e61c0941452fa72e22f42bdc45e014a82815333
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 11_29_console_switch_cal_1535nm.dat
# switch_file_sha1hash: 0ff99670bbf6c114b14cf0ef8ba44d25a9fb3cae
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000006, 0.000007
0.3400, 0.000117, 0.000031
0.3500, 0.001078, 0.000134
0.3600, 0.007187, 0.000222
0.3700, 0.032262, 0.000573
0.3800, 0.099772, 0.000928
0.3900, 0.223845, 0.001413
0.4000, 0.386806, 0.001808
0.4100, 0.546641, 0.002462
0.4200, 0.671995, 0.002431
0.4300, 0.758886, 0.003041
0.4400, 0.817675, 0.003246
0.4500, 0.858626, 0.002890
0.4600, 0.886272, 0.003120
0.4700, 0.905852, 0.003103
0.4800, 0.918686, 0.004295
0.4900, 0.930252, 0.003402
0.5000, 0.936244, 0.003099
0.5100, 0.941863, 0.003378
0.5200, 0.944653, 0.003235
0.5300, 0.945940, 0.003362
