#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0085+/-0.0014
# counts_expected: '228169.87245447133'
# counts_expected_std_err: '542.9774222007813'
# input_file: 04_24_maxpol_1530nm.dat
# input_file_sha1hash: b322762d3327b7ae9801312cd0e345a44b4ed054
# nonlinear_yaml: 15_32_console_nonlinear_1530nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 321f3d8dd6cb02eb3a4cabd6be3f7137d3747af4
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_49_console_switch_cal_1530nm.dat
# switch_file_sha1hash: b65d2b256bcd320e7aed4430ff9d107c699e3cbc
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000000, 0.000000
0.3300, 0.000014, 0.000010
0.3400, 0.000126, 0.000036
0.3500, 0.001114, 0.000094
0.3600, 0.006952, 0.000203
0.3700, 0.031116, 0.000501
0.3800, 0.098376, 0.001032
0.3900, 0.222099, 0.001858
0.4000, 0.386856, 0.002014
0.4100, 0.550031, 0.002656
0.4200, 0.677355, 0.002769
0.4300, 0.764679, 0.002898
0.4400, 0.822871, 0.003338
0.4500, 0.864814, 0.003020
0.4600, 0.891268, 0.003308
0.4700, 0.911385, 0.003407
0.4800, 0.925025, 0.003734
0.4900, 0.933526, 0.003864
0.5000, 0.940055, 0.003592
0.5100, 0.945744, 0.004055
0.5200, 0.950068, 0.004186
0.5300, 0.951873, 0.004247
0.5400, 0.952287, 0.003663
