#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0085+/-0.0014
# counts_expected: '228169.87245447133'
# counts_expected_std_err: '542.9774222007813'
# input_file: 04_24_minpol_1530nm.dat
# input_file_sha1hash: 815b1a8b045abb9a4b1ecd7456a26b265bedaf58
# nonlinear_yaml: 15_32_console_nonlinear_1530nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 321f3d8dd6cb02eb3a4cabd6be3f7137d3747af4
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_49_console_switch_cal_1530nm.dat
# switch_file_sha1hash: b65d2b256bcd320e7aed4430ff9d107c699e3cbc
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000002
0.3300, 0.000008, 0.000008
0.3400, 0.000131, 0.000029
0.3500, 0.001100, 0.000092
0.3600, 0.007155, 0.000314
0.3700, 0.031805, 0.000535
0.3800, 0.099047, 0.000923
0.3900, 0.223700, 0.001490
0.4000, 0.387753, 0.002073
0.4100, 0.548553, 0.002335
0.4200, 0.675210, 0.003247
0.4300, 0.761304, 0.003183
0.4400, 0.821201, 0.003085
0.4500, 0.859463, 0.003072
0.4600, 0.888446, 0.003357
0.4700, 0.906622, 0.003174
0.4800, 0.919670, 0.003132
0.4900, 0.928570, 0.003953
0.5000, 0.936235, 0.003460
0.5100, 0.942559, 0.003484
0.5200, 0.945278, 0.003742
0.5300, 0.947176, 0.003552
0.5400, 0.948024, 0.003994
