#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0065+/-0.0014
# counts_expected: '235844.17296089642'
# counts_expected_std_err: '513.6030494197781'
# input_file: 05_26_maxpol_1525nm.dat
# input_file_sha1hash: 559117a30cc04329d70ba2eec59c30a32f6bc57e
# nonlinear_yaml: 13_21_console_nonlinear_1525nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 0bf7679e53818d9121c9a7f03bc635d81221446e
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_09_console_switch_cal_1525nm.dat
# switch_file_sha1hash: 70b3b9463a06c1838d76909d4599e50c9d4396be
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000002
0.3300, 0.000009, 0.000008
0.3400, 0.000137, 0.000036
0.3500, 0.001055, 0.000085
0.3600, 0.006885, 0.000226
0.3700, 0.030432, 0.000419
0.3800, 0.094891, 0.000876
0.3900, 0.214491, 0.001416
0.4000, 0.372872, 0.002005
0.4100, 0.529920, 0.002549
0.4200, 0.651862, 0.002383
0.4300, 0.736364, 0.002782
0.4400, 0.792663, 0.003492
0.4500, 0.832338, 0.002897
0.4600, 0.860426, 0.002958
0.4700, 0.877837, 0.003165
0.4800, 0.890650, 0.003080
0.4900, 0.900157, 0.003505
0.5000, 0.905466, 0.003459
0.5100, 0.911493, 0.003252
0.5200, 0.915716, 0.003380
0.5300, 0.917083, 0.003620
0.5400, 0.917743, 0.003459
