#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0065+/-0.0014
# counts_expected: '235844.17296089642'
# counts_expected_std_err: '513.6030494197781'
# input_file: 05_26_minpol_1525nm.dat
# input_file_sha1hash: 0b0f73ba695e0f7f65bc3a1dd7656996e96c0053
# nonlinear_yaml: 13_21_console_nonlinear_1525nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 0bf7679e53818d9121c9a7f03bc635d81221446e
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_09_console_switch_cal_1525nm.dat
# switch_file_sha1hash: 70b3b9463a06c1838d76909d4599e50c9d4396be
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000010, 0.000007
0.3400, 0.000118, 0.000028
0.3500, 0.001109, 0.000109
0.3600, 0.007103, 0.000306
0.3700, 0.031338, 0.000586
0.3800, 0.096468, 0.001006
0.3900, 0.216140, 0.001466
0.4000, 0.373712, 0.001885
0.4100, 0.529056, 0.002291
0.4200, 0.649182, 0.002614
0.4300, 0.732692, 0.002951
0.4400, 0.789497, 0.002852
0.4500, 0.827758, 0.003302
0.4600, 0.854339, 0.003258
0.4700, 0.872775, 0.003717
0.4800, 0.885057, 0.004041
0.4900, 0.893815, 0.003562
0.5000, 0.901042, 0.003378
0.5100, 0.905926, 0.003279
0.5200, 0.910244, 0.003624
0.5300, 0.910212, 0.003711
0.5400, 0.911695, 0.003329
