#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '238129.79534506664'
# counts_expected_std_err: '432.75302184324033'
# input_file: 19_18_maxpol_1575nm.dat
# input_file_sha1hash: d57be03ab35273e24999477773de8de47c17c12a
# nonlinear_yaml: 11_03_console_nonlinear_1575nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 10ef5ae518deec9b38c196263ff0dcef66c43967
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_51_console_switch_cal_1575nm.dat
# switch_file_sha1hash: 5e8d132c1fab83a4dc80b317012926ee30c148ca
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000005, 0.000007
0.3400, 0.000091, 0.000024
0.3500, 0.000828, 0.000065
0.3600, 0.005655, 0.000235
0.3700, 0.027358, 0.000472
0.3800, 0.090811, 0.000782
0.3900, 0.212857, 0.001422
0.4000, 0.375984, 0.001842
0.4100, 0.535296, 0.002547
0.4200, 0.658869, 0.002314
0.4300, 0.744580, 0.002463
0.4400, 0.803823, 0.002583
0.4500, 0.844776, 0.002729
0.4600, 0.873603, 0.003480
0.4700, 0.891318, 0.003017
0.4800, 0.905081, 0.003220
0.4900, 0.916454, 0.002991
0.5000, 0.923356, 0.002853
0.5100, 0.929398, 0.003478
0.5200, 0.931456, 0.003160
