#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '238129.79534506664'
# counts_expected_std_err: '432.75302184324033'
# input_file: 19_18_minpol_1575nm.dat
# input_file_sha1hash: 6366da0433f7c3a242be03dfa2b8a6e8f4ec11a7
# nonlinear_yaml: 11_03_console_nonlinear_1575nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 10ef5ae518deec9b38c196263ff0dcef66c43967
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_51_console_switch_cal_1575nm.dat
# switch_file_sha1hash: 5e8d132c1fab83a4dc80b317012926ee30c148ca
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000010, 0.000010
0.3400, 0.000085, 0.000026
0.3500, 0.000805, 0.000075
0.3600, 0.005624, 0.000207
0.3700, 0.027402, 0.000377
0.3800, 0.090208, 0.000752
0.3900, 0.211349, 0.001399
0.4000, 0.374059, 0.001751
0.4100, 0.532655, 0.002397
0.4200, 0.657162, 0.002248
0.4300, 0.742060, 0.002647
0.4400, 0.800795, 0.002992
0.4500, 0.842317, 0.002947
0.4600, 0.869761, 0.003215
0.4700, 0.888791, 0.003269
0.4800, 0.902533, 0.003010
0.4900, 0.913784, 0.002846
0.5000, 0.920456, 0.003223
0.5100, 0.925099, 0.003307
0.5200, 0.928681, 0.003091
0.5300, 0.931070, 0.003155
