#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0132+/-0.0014
# counts_expected: '238730.94674600803'
# counts_expected_std_err: '525.1508629780527'
# input_file: 20_18_maxpol_1570nm.dat
# input_file_sha1hash: b3c23bc53c1f36feb6be67a0ffe8d7a75e84ef13
# nonlinear_yaml: 08_53_console_nonlinear_1570nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 650e36695a1d27fe4363f229811cab49df7b6c67
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_11_console_switch_cal_1570nm.dat
# switch_file_sha1hash: 7006b108d7316a83aad08cd93c31869c4b05632b
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000002
0.3300, 0.000008, 0.000007
0.3400, 0.000087, 0.000026
0.3500, 0.000857, 0.000085
0.3600, 0.005864, 0.000197
0.3700, 0.028055, 0.000470
0.3800, 0.092737, 0.000827
0.3900, 0.215330, 0.001274
0.4000, 0.378627, 0.002187
0.4100, 0.538503, 0.002404
0.4200, 0.661897, 0.002590
0.4300, 0.746901, 0.002894
0.4400, 0.806029, 0.003481
0.4500, 0.847423, 0.002841
0.4600, 0.876170, 0.003150
0.4700, 0.895902, 0.003389
0.4800, 0.907946, 0.003150
0.4900, 0.918533, 0.003870
0.5000, 0.924192, 0.003792
0.5100, 0.931048, 0.003327
0.5200, 0.935430, 0.003395
0.5300, 0.936699, 0.003641
0.5400, 0.937273, 0.003936
