#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0132+/-0.0014
# counts_expected: '238730.94674600803'
# counts_expected_std_err: '525.1508629780527'
# input_file: 20_18_minpol_1570nm.dat
# input_file_sha1hash: 5476dc5e72981da8a7ff2b59f3a0e1273182b1eb
# nonlinear_yaml: 08_53_console_nonlinear_1570nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 650e36695a1d27fe4363f229811cab49df7b6c67
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_11_console_switch_cal_1570nm.dat
# switch_file_sha1hash: 7006b108d7316a83aad08cd93c31869c4b05632b
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000007, 0.000007
0.3400, 0.000086, 0.000029
0.3500, 0.000815, 0.000073
0.3600, 0.005719, 0.000269
0.3700, 0.027714, 0.000479
0.3800, 0.090553, 0.000911
0.3900, 0.211840, 0.001490
0.4000, 0.375574, 0.001728
0.4100, 0.534779, 0.002563
0.4200, 0.658497, 0.002416
0.4300, 0.744808, 0.002695
0.4400, 0.801531, 0.003233
0.4500, 0.843143, 0.003076
0.4600, 0.870884, 0.003088
0.4700, 0.889592, 0.003123
0.4800, 0.903505, 0.003563
0.4900, 0.913466, 0.003143
0.5000, 0.921203, 0.003255
0.5100, 0.926836, 0.003372
0.5200, 0.928949, 0.003715
0.5300, 0.932425, 0.003621
0.5400, 0.932398, 0.003715
