#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0135+/-0.0014
# counts_expected: '236589.24235230888'
# counts_expected_std_err: '587.494269914774'
# input_file: 21_20_maxpol_1565nm.dat
# input_file_sha1hash: 31c172d36064d424176777dfad638ce1b77805ff
# nonlinear_yaml: 06_43_console_nonlinear_1565nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 45f88b28b192820eeb9a21ceefaea6604f3e054c
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 15_31_console_switch_cal_1565nm.dat
# switch_file_sha1hash: 6d6deef82d1f53678a813dae003ba3f43b3a85b3
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000002
0.3300, 0.000009, 0.000008
0.3400, 0.000092, 0.000028
0.3500, 0.000896, 0.000078
0.3600, 0.006055, 0.000215
0.3700, 0.028894, 0.000445
0.3800, 0.094586, 0.000823
0.3900, 0.218577, 0.001449
0.4000, 0.384197, 0.001849
0.4100, 0.544051, 0.002647
0.4200, 0.669236, 0.002779
0.4300, 0.755778, 0.003252
0.4400, 0.813928, 0.003245
0.4500, 0.855825, 0.003119
0.4600, 0.883560, 0.003189
0.4700, 0.904104, 0.003390
0.4800, 0.917341, 0.003295
0.4900, 0.927893, 0.003340
0.5000, 0.934253, 0.004029
0.5100, 0.940383, 0.003324
0.5200, 0.944459, 0.003483
0.5300, 0.945647, 0.003669
