#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0135+/-0.0014
# counts_expected: '236589.24235230888'
# counts_expected_std_err: '587.494269914774'
# input_file: 21_20_minpol_1565nm.dat
# input_file_sha1hash: effd37bb1e5eb8ee075e36bb8ad37f9b6224d531
# nonlinear_yaml: 06_43_console_nonlinear_1565nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 45f88b28b192820eeb9a21ceefaea6604f3e054c
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 15_31_console_switch_cal_1565nm.dat
# switch_file_sha1hash: 6d6deef82d1f53678a813dae003ba3f43b3a85b3
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000007, 0.000006
0.3400, 0.000099, 0.000028
0.3500, 0.000916, 0.000083
0.3600, 0.006076, 0.000205
0.3700, 0.028694, 0.000471
0.3800, 0.093996, 0.000840
0.3900, 0.218015, 0.001623
0.4000, 0.382019, 0.002218
0.4100, 0.543619, 0.002830
0.4200, 0.668049, 0.002739
0.4300, 0.753475, 0.002760
0.4400, 0.814134, 0.003201
0.4500, 0.854532, 0.002969
0.4600, 0.882430, 0.003796
0.4700, 0.902799, 0.003463
0.4800, 0.915116, 0.003316
0.4900, 0.925045, 0.003854
0.5000, 0.933132, 0.003709
0.5100, 0.939167, 0.003536
0.5200, 0.942365, 0.003674
0.5300, 0.944169, 0.003763
