#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0138+/-0.0014
# counts_expected: '238659.0685296273'
# counts_expected_std_err: '483.82032305537814'
# input_file: 22_21_maxpol_1560nm.dat
# input_file_sha1hash: b1ea68d981fbee023b1ca99216bb4366a9c4e0a5
# nonlinear_yaml: 04_33_console_nonlinear_1560nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 3857a930a334d9a9e5e5d2f8da194c984fa60660
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_50_console_switch_cal_1560nm.dat
# switch_file_sha1hash: 18ad6cee721d2936ba200d53007696e3adf61f26
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000008, 0.000007
0.3400, 0.000112, 0.000030
0.3500, 0.000962, 0.000095
0.3600, 0.006457, 0.000268
0.3700, 0.030445, 0.000507
0.3800, 0.098122, 0.000908
0.3900, 0.224751, 0.001242
0.4000, 0.390969, 0.002160
0.4100, 0.551478, 0.002464
0.4200, 0.677818, 0.002612
0.4300, 0.764000, 0.002647
0.4400, 0.824282, 0.002886
0.4500, 0.865932, 0.002962
0.4600, 0.894941, 0.003265
0.4700, 0.914398, 0.003260
0.4800, 0.929159, 0.003401
0.4900, 0.939233, 0.003060
0.5000, 0.947113, 0.003503
0.5100, 0.952863, 0.003631
0.5200, 0.955675, 0.003461
0.5300, 0.956843, 0.003514
