#  Calculate SDE 
#
#  Mon Jan 10 09:47:49 2022
#
# config used
# NIST calibration factor: 1.0138+/-0.0014
# counts_expected: '238659.0685296273'
# counts_expected_std_err: '483.82032305537814'
# input_file: 22_21_minpol_1560nm.dat
# input_file_sha1hash: 79f5e2cde2ccad9bcb86235fcc2013167a0fc7c5
# nonlinear_yaml: 04_33_console_nonlinear_1560nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 3857a930a334d9a9e5e5d2f8da194c984fa60660
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_50_console_switch_cal_1560nm.dat
# switch_file_sha1hash: 18ad6cee721d2936ba200d53007696e3adf61f26
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000009, 0.000010
0.3400, 0.000093, 0.000031
0.3500, 0.000935, 0.000092
0.3600, 0.006416, 0.000270
0.3700, 0.030069, 0.000443
0.3800, 0.097351, 0.000968
0.3900, 0.222998, 0.001370
0.4000, 0.390728, 0.001985
0.4100, 0.550404, 0.001983
0.4200, 0.675839, 0.002920
0.4300, 0.762181, 0.002954
0.4400, 0.822933, 0.002757
0.4500, 0.864742, 0.003289
0.4600, 0.894532, 0.003374
0.4700, 0.913144, 0.003560
0.4800, 0.927775, 0.003419
0.4900, 0.937434, 0.003149
0.5000, 0.945073, 0.003592
0.5100, 0.950271, 0.003279
0.5200, 0.954839, 0.003568
0.5300, 0.957061, 0.003749
