#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0140+/-0.0014
# counts_expected: '237508.642854356'
# counts_expected_std_err: '491.24782307127253'
# input_file: 23_22_maxpol_1555nm.dat
# input_file_sha1hash: d41bd8a3679e180948009af96b2dd86e37a5e843
# nonlinear_yaml: 02_23_console_nonlinear_1555nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 9f6081400d33b1e4f4ea19b2fbef4ad065624bcf
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_10_console_switch_cal_1555nm.dat
# switch_file_sha1hash: 16114fb5a9a957bdf6a2623a25d62103cabf4b89
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000002
0.3300, 0.000010, 0.000009
0.3400, 0.000098, 0.000026
0.3500, 0.000997, 0.000096
0.3600, 0.006550, 0.000235
0.3700, 0.031365, 0.000565
0.3800, 0.099888, 0.001113
0.3900, 0.227105, 0.001430
0.4000, 0.393948, 0.001857
0.4100, 0.554989, 0.002283
0.4200, 0.680685, 0.002648
0.4300, 0.766733, 0.002621
0.4400, 0.826423, 0.002899
0.4500, 0.869488, 0.003021
0.4600, 0.898337, 0.003112
0.4700, 0.917786, 0.003828
0.4800, 0.931913, 0.003031
0.4900, 0.941253, 0.003332
0.5000, 0.948847, 0.003253
0.5100, 0.954778, 0.003169
0.5200, 0.958333, 0.003365
0.5300, 0.960815, 0.003318
