#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0140+/-0.0014
# counts_expected: '237508.642854356'
# counts_expected_std_err: '491.24782307127253'
# input_file: 23_22_minpol_1555nm.dat
# input_file_sha1hash: 574849327147397d8898368952d4032b88aff638
# nonlinear_yaml: 02_23_console_nonlinear_1555nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 9f6081400d33b1e4f4ea19b2fbef4ad065624bcf
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_10_console_switch_cal_1555nm.dat
# switch_file_sha1hash: 16114fb5a9a957bdf6a2623a25d62103cabf4b89
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000007, 0.000006
0.3400, 0.000123, 0.000032
0.3500, 0.001002, 0.000095
0.3600, 0.006553, 0.000221
0.3700, 0.030937, 0.000559
0.3800, 0.099222, 0.001021
0.3900, 0.226599, 0.001520
0.4000, 0.393157, 0.001845
0.4100, 0.554156, 0.002160
0.4200, 0.678949, 0.002466
0.4300, 0.766736, 0.002620
0.4400, 0.825249, 0.002791
0.4500, 0.868677, 0.003158
0.4600, 0.896815, 0.003413
0.4700, 0.915849, 0.003519
0.4800, 0.928410, 0.003118
0.4900, 0.940315, 0.003326
0.5000, 0.948132, 0.003504
0.5100, 0.953567, 0.003737
0.5200, 0.957570, 0.004154
0.5300, 0.958851, 0.003607
