#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0138+/-0.0014
# counts_expected: '237240.05724859735'
# counts_expected_std_err: '481.0162056857394'
# input_file: 00_29_maxpol_1560nm.dat
# input_file_sha1hash: 1718bee5fc8d96e2128221a9a35527d11b25629d
# nonlinear_yaml: 04_33_console_nonlinear_1560nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 3857a930a334d9a9e5e5d2f8da194c984fa60660
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_50_console_switch_cal_1560nm.dat
# switch_file_sha1hash: 18ad6cee721d2936ba200d53007696e3adf61f26
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000016, 0.000012
0.3400, 0.000197, 0.000040
0.3500, 0.001701, 0.000108
0.3600, 0.009711, 0.000258
0.3700, 0.041722, 0.000783
0.3800, 0.122728, 0.001152
0.3900, 0.262410, 0.001830
0.4000, 0.431439, 0.002527
0.4100, 0.587006, 0.002498
0.4200, 0.703468, 0.002459
0.4300, 0.783597, 0.002795
0.4400, 0.838654, 0.003001
0.4500, 0.876705, 0.003055
0.4600, 0.902880, 0.003091
0.4700, 0.920106, 0.003484
0.4800, 0.932547, 0.003336
0.4900, 0.940514, 0.003353
0.5000, 0.947117, 0.003393
0.5100, 0.952301, 0.003677
0.5200, 0.955040, 0.003736
0.5300, 0.957535, 0.003203
