#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0138+/-0.0014
# counts_expected: '237240.05724859735'
# counts_expected_std_err: '481.0162056857394'
# input_file: 00_29_minpol_1560nm.dat
# input_file_sha1hash: b23f63c3f351e4fd4310d40a6fada60242261068
# nonlinear_yaml: 04_33_console_nonlinear_1560nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 3857a930a334d9a9e5e5d2f8da194c984fa60660
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_50_console_switch_cal_1560nm.dat
# switch_file_sha1hash: 18ad6cee721d2936ba200d53007696e3adf61f26
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000005
0.3300, 0.000023, 0.000017
0.3400, 0.000178, 0.000042
0.3500, 0.001616, 0.000114
0.3600, 0.009795, 0.000329
0.3700, 0.041983, 0.000544
0.3800, 0.123123, 0.001134
0.3900, 0.262591, 0.001512
0.4000, 0.431745, 0.002173
0.4100, 0.587147, 0.002412
0.4200, 0.702522, 0.002611
0.4300, 0.780941, 0.002660
0.4400, 0.837168, 0.002833
0.4500, 0.874252, 0.003332
0.4600, 0.901467, 0.002845
0.4700, 0.917905, 0.002942
0.4800, 0.929061, 0.003496
0.4900, 0.938960, 0.003488
0.5000, 0.944122, 0.003263
0.5100, 0.949290, 0.003268
0.5200, 0.951089, 0.003145
0.5300, 0.953327, 0.003120
