#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0140+/-0.0014
# counts_expected: '236757.2948254191'
# counts_expected_std_err: '489.7338932224941'
# input_file: 01_30_maxpol_1555nm.dat
# input_file_sha1hash: 482da110462c0058bce61af0dd14bf9924c7ae30
# nonlinear_yaml: 02_23_console_nonlinear_1555nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 9f6081400d33b1e4f4ea19b2fbef4ad065624bcf
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_10_console_switch_cal_1555nm.dat
# switch_file_sha1hash: 16114fb5a9a957bdf6a2623a25d62103cabf4b89
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000004
0.3300, 0.000016, 0.000010
0.3400, 0.000196, 0.000042
0.3500, 0.001679, 0.000116
0.3600, 0.010121, 0.000260
0.3700, 0.042288, 0.000549
0.3800, 0.123269, 0.000882
0.3900, 0.262232, 0.001442
0.4000, 0.431161, 0.002172
0.4100, 0.587800, 0.002591
0.4200, 0.703020, 0.002894
0.4300, 0.782151, 0.003088
0.4400, 0.837439, 0.003146
0.4500, 0.875687, 0.002781
0.4600, 0.902053, 0.003104
0.4700, 0.919014, 0.004010
0.4800, 0.930895, 0.003120
0.4900, 0.939713, 0.003294
0.5000, 0.944729, 0.003064
0.5100, 0.950157, 0.003464
0.5200, 0.952049, 0.003872
