#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0140+/-0.0014
# counts_expected: '236757.2948254191'
# counts_expected_std_err: '489.7338932224941'
# input_file: 01_30_minpol_1555nm.dat
# input_file_sha1hash: 00c50e3310c6a2dda0d8d89055fa15b66a5849d1
# nonlinear_yaml: 02_23_console_nonlinear_1555nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 9f6081400d33b1e4f4ea19b2fbef4ad065624bcf
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 14_10_console_switch_cal_1555nm.dat
# switch_file_sha1hash: 16114fb5a9a957bdf6a2623a25d62103cabf4b89
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000002, 0.000004
0.3300, 0.000020, 0.000011
0.3400, 0.000201, 0.000039
0.3500, 0.001730, 0.000137
0.3600, 0.010222, 0.000346
0.3700, 0.042634, 0.000554
0.3800, 0.124706, 0.001200
0.3900, 0.263778, 0.001502
0.4000, 0.433015, 0.002053
0.4100, 0.586725, 0.002422
0.4200, 0.702698, 0.002614
0.4300, 0.780988, 0.002817
0.4400, 0.836255, 0.002871
0.4500, 0.873603, 0.003583
0.4600, 0.901450, 0.003276
0.4700, 0.917402, 0.003593
0.4800, 0.929862, 0.003782
0.4900, 0.936829, 0.003583
0.5000, 0.944264, 0.003591
0.5100, 0.947803, 0.003063
0.5200, 0.950396, 0.003499
0.5300, 0.954225, 0.003471
