#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '238074.0645775783'
# counts_expected_std_err: '602.5546947392473'
# input_file: 02_31_maxpol_1550nm.dat
# input_file_sha1hash: b52c045c546b8181887d91af22db3e83b0a8ffbb
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000002
0.3300, 0.000019, 0.000014
0.3400, 0.000225, 0.000040
0.3500, 0.001733, 0.000110
0.3600, 0.010218, 0.000364
0.3700, 0.042931, 0.000606
0.3800, 0.124090, 0.000979
0.3900, 0.262129, 0.001714
0.4000, 0.428272, 0.002422
0.4100, 0.581988, 0.002682
0.4200, 0.696145, 0.003049
0.4300, 0.774629, 0.002975
0.4400, 0.828915, 0.003318
0.4500, 0.867751, 0.003540
0.4600, 0.891222, 0.003210
0.4700, 0.908778, 0.003179
0.4800, 0.920787, 0.003540
0.4900, 0.928554, 0.003628
0.5000, 0.934711, 0.003921
0.5100, 0.939523, 0.003502
0.5200, 0.941525, 0.003606
