#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '238074.0645775783'
# counts_expected_std_err: '602.5546947392473'
# input_file: 02_31_minpol_1550nm.dat
# input_file_sha1hash: 4afd7091f9f15e30cd8a371c3c38c9ef793ad636
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000004
0.3300, 0.000024, 0.000014
0.3400, 0.000200, 0.000038
0.3500, 0.001741, 0.000136
0.3600, 0.010194, 0.000301
0.3700, 0.042788, 0.000749
0.3800, 0.123789, 0.000959
0.3900, 0.261800, 0.001780
0.4000, 0.429429, 0.002141
0.4100, 0.582247, 0.002563
0.4200, 0.696030, 0.002897
0.4300, 0.774880, 0.003096
0.4400, 0.829638, 0.003239
0.4500, 0.865845, 0.003040
0.4600, 0.891460, 0.003303
0.4700, 0.908682, 0.003422
0.4800, 0.918868, 0.003229
0.4900, 0.927963, 0.003371
0.5000, 0.933601, 0.003546
0.5100, 0.937806, 0.003984
0.5200, 0.940889, 0.003879
0.5300, 0.943953, 0.004078
