#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '237369.45821671057'
# counts_expected_std_err: '508.1151057052986'
# input_file: 03_32_maxpol_1545nm.dat
# input_file_sha1hash: f88b339080b6bcd7d499d70a1e7861b0ed65c379
# nonlinear_yaml: 22_02_console_nonlinear_1545nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: a5bdf15c4b65dc080541c52144cc8d7d55ed51f8
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_50_console_switch_cal_1545nm.dat
# switch_file_sha1hash: 39dbf2504534e5cc1bef44919a9110166f694233
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000017, 0.000011
0.3400, 0.000219, 0.000043
0.3500, 0.001888, 0.000125
0.3600, 0.010829, 0.000325
0.3700, 0.044293, 0.000758
0.3800, 0.127046, 0.001011
0.3900, 0.265796, 0.001735
0.4000, 0.431992, 0.002090
0.4100, 0.584558, 0.002737
0.4200, 0.699612, 0.002721
0.4300, 0.776030, 0.003074
0.4400, 0.830146, 0.002928
0.4500, 0.867357, 0.003269
0.4600, 0.892483, 0.003260
0.4700, 0.909610, 0.003130
0.4800, 0.920828, 0.003080
0.4900, 0.929375, 0.003370
0.5000, 0.933841, 0.003363
0.5100, 0.938164, 0.003138
0.5200, 0.942653, 0.003724
0.5300, 0.944547, 0.003833
