#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '237369.45821671057'
# counts_expected_std_err: '508.1151057052986'
# input_file: 03_32_minpol_1545nm.dat
# input_file_sha1hash: f058f594e2f1477d4ddf77f8527ed9af2bc91939
# nonlinear_yaml: 22_02_console_nonlinear_1545nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: a5bdf15c4b65dc080541c52144cc8d7d55ed51f8
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_50_console_switch_cal_1545nm.dat
# switch_file_sha1hash: 39dbf2504534e5cc1bef44919a9110166f694233
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000021, 0.000014
0.3400, 0.000209, 0.000037
0.3500, 0.001808, 0.000125
0.3600, 0.010533, 0.000264
0.3700, 0.043826, 0.000681
0.3800, 0.125798, 0.001054
0.3900, 0.264826, 0.001687
0.4000, 0.431727, 0.002050
0.4100, 0.584643, 0.002893
0.4200, 0.698422, 0.002867
0.4300, 0.776753, 0.003069
0.4400, 0.830761, 0.002957
0.4500, 0.867107, 0.002858
0.4600, 0.891878, 0.003381
0.4700, 0.909653, 0.003021
0.4800, 0.919748, 0.003198
0.4900, 0.928876, 0.003028
0.5000, 0.934877, 0.003312
0.5100, 0.938515, 0.003499
0.5200, 0.941695, 0.003342
