#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0119+/-0.0014
# counts_expected: '234627.09164583284'
# counts_expected_std_err: '556.7692539012111'
# input_file: 04_32_maxpol_1540nm.dat
# input_file_sha1hash: f0e662bd191c8c97e0df2e5ac3e18c4e6cd96a9f
# nonlinear_yaml: 19_52_console_nonlinear_1540nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 4520ecdb1841d9789d906c6b6996dc60bce15188
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_09_console_switch_cal_1540nm.dat
# switch_file_sha1hash: e03f8e11d0b666bd72668b8b180ec8529acaa35c
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000001, 0.000003
0.3200, 0.000002, 0.000004
0.3300, 0.000018, 0.000014
0.3400, 0.000253, 0.000045
0.3500, 0.001973, 0.000115
0.3600, 0.011306, 0.000316
0.3700, 0.045810, 0.000558
0.3800, 0.129652, 0.001193
0.3900, 0.269519, 0.001533
0.4000, 0.437613, 0.002142
0.4100, 0.590403, 0.002650
0.4200, 0.702373, 0.002645
0.4300, 0.781148, 0.002720
0.4400, 0.834835, 0.003260
0.4500, 0.871430, 0.003422
0.4600, 0.896676, 0.003097
0.4700, 0.912553, 0.003493
0.4800, 0.924209, 0.003233
0.4900, 0.931643, 0.003370
0.5000, 0.937513, 0.003386
0.5100, 0.942722, 0.003566
0.5200, 0.943466, 0.003910
