#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0119+/-0.0014
# counts_expected: '234627.09164583284'
# counts_expected_std_err: '556.7692539012111'
# input_file: 04_32_minpol_1540nm.dat
# input_file_sha1hash: 1114f0794d16cb4f9e237b9aed231217858d09d2
# nonlinear_yaml: 19_52_console_nonlinear_1540nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 4520ecdb1841d9789d906c6b6996dc60bce15188
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 12_09_console_switch_cal_1540nm.dat
# switch_file_sha1hash: e03f8e11d0b666bd72668b8b180ec8529acaa35c
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000005
0.3300, 0.000020, 0.000013
0.3400, 0.000237, 0.000038
0.3500, 0.002003, 0.000193
0.3600, 0.011276, 0.000281
0.3700, 0.045644, 0.000729
0.3800, 0.129452, 0.001026
0.3900, 0.270196, 0.001611
0.4000, 0.436834, 0.002215
0.4100, 0.589848, 0.002730
0.4200, 0.702514, 0.002651
0.4300, 0.779525, 0.003148
0.4400, 0.833483, 0.003041
0.4500, 0.868245, 0.003017
0.4600, 0.894333, 0.003481
0.4700, 0.910806, 0.003204
0.4800, 0.921351, 0.003390
0.4900, 0.930777, 0.003384
0.5000, 0.936563, 0.003756
0.5100, 0.940324, 0.003607
0.5200, 0.942473, 0.003746
