#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0103+/-0.0014
# counts_expected: '233449.86269993806'
# counts_expected_std_err: '440.51294988646964'
# input_file: 05_33_maxpol_1535nm.dat
# input_file_sha1hash: dd884637c5314c1b0702f6e39d98ebd4c673ffaa
# nonlinear_yaml: 17_42_console_nonlinear_1535nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 1e61c0941452fa72e22f42bdc45e014a82815333
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 11_29_console_switch_cal_1535nm.dat
# switch_file_sha1hash: 0ff99670bbf6c114b14cf0ef8ba44d25a9fb3cae
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000024, 0.000015
0.3400, 0.000249, 0.000052
0.3500, 0.002033, 0.000147
0.3600, 0.011427, 0.000332
0.3700, 0.046338, 0.000752
0.3800, 0.130012, 0.001035
0.3900, 0.269379, 0.001647
0.4000, 0.436077, 0.002056
0.4100, 0.586584, 0.002268
0.4200, 0.699743, 0.002923
0.4300, 0.777145, 0.002550
0.4400, 0.828226, 0.003012
0.4500, 0.866053, 0.003051
0.4600, 0.889206, 0.003374
0.4700, 0.905787, 0.003128
0.4800, 0.915155, 0.003033
0.4900, 0.923661, 0.003265
0.5000, 0.928441, 0.003446
0.5100, 0.933689, 0.003272
0.5200, 0.934946, 0.003240
0.5300, 0.938761, 0.003246
