#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0103+/-0.0014
# counts_expected: '233449.86269993806'
# counts_expected_std_err: '440.51294988646964'
# input_file: 05_33_minpol_1535nm.dat
# input_file_sha1hash: 97a4c2284c5c33336918702ff8964b24b762e21a
# nonlinear_yaml: 17_42_console_nonlinear_1535nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 1e61c0941452fa72e22f42bdc45e014a82815333
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 11_29_console_switch_cal_1535nm.dat
# switch_file_sha1hash: 0ff99670bbf6c114b14cf0ef8ba44d25a9fb3cae
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000004
0.3300, 0.000025, 0.000014
0.3400, 0.000249, 0.000049
0.3500, 0.002034, 0.000172
0.3600, 0.011472, 0.000291
0.3700, 0.046183, 0.000654
0.3800, 0.130172, 0.001002
0.3900, 0.269896, 0.001528
0.4000, 0.436178, 0.002032
0.4100, 0.588068, 0.002273
0.4200, 0.700587, 0.002700
0.4300, 0.775188, 0.003039
0.4400, 0.827751, 0.002828
0.4500, 0.863768, 0.002796
0.4600, 0.888056, 0.003331
0.4700, 0.904102, 0.003012
0.4800, 0.914410, 0.003391
0.4900, 0.922371, 0.003554
0.5000, 0.927246, 0.002980
0.5100, 0.930108, 0.003115
0.5200, 0.933974, 0.003636
0.5300, 0.935908, 0.003201
