#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0085+/-0.0014
# counts_expected: '229185.7696054866'
# counts_expected_std_err: '545.75060590722'
# input_file: 06_34_maxpol_1530nm.dat
# input_file_sha1hash: b04800b7c58035a3fbb737d92a70e039c3f960ab
# nonlinear_yaml: 15_32_console_nonlinear_1530nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 321f3d8dd6cb02eb3a4cabd6be3f7137d3747af4
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_49_console_switch_cal_1530nm.dat
# switch_file_sha1hash: b65d2b256bcd320e7aed4430ff9d107c699e3cbc
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000003, 0.000006
0.3300, 0.000026, 0.000015
0.3400, 0.000248, 0.000048
0.3500, 0.002115, 0.000135
0.3600, 0.011906, 0.000315
0.3700, 0.047372, 0.000616
0.3800, 0.132856, 0.001088
0.3900, 0.273928, 0.001676
0.4000, 0.442215, 0.002014
0.4100, 0.594796, 0.002508
0.4200, 0.707055, 0.003098
0.4300, 0.782693, 0.002943
0.4400, 0.833482, 0.003198
0.4500, 0.869817, 0.003332
0.4600, 0.893658, 0.003286
0.4700, 0.909009, 0.003332
0.4800, 0.919553, 0.003344
0.4900, 0.927679, 0.003294
0.5000, 0.931912, 0.003674
0.5100, 0.935727, 0.003709
0.5200, 0.938782, 0.003781
0.5300, 0.941948, 0.003789
