#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0085+/-0.0014
# counts_expected: '229185.7696054866'
# counts_expected_std_err: '545.75060590722'
# input_file: 06_34_minpol_1530nm.dat
# input_file_sha1hash: 03921daf24698ea28f346c194ea525d4f0372d2b
# nonlinear_yaml: 15_32_console_nonlinear_1530nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 321f3d8dd6cb02eb3a4cabd6be3f7137d3747af4
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_49_console_switch_cal_1530nm.dat
# switch_file_sha1hash: b65d2b256bcd320e7aed4430ff9d107c699e3cbc
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000003
0.3300, 0.000021, 0.000014
0.3400, 0.000251, 0.000040
0.3500, 0.002099, 0.000130
0.3600, 0.011926, 0.000280
0.3700, 0.047304, 0.000630
0.3800, 0.132358, 0.000976
0.3900, 0.272502, 0.001557
0.4000, 0.440473, 0.002104
0.4100, 0.593255, 0.002503
0.4200, 0.705207, 0.002822
0.4300, 0.780985, 0.002963
0.4400, 0.832881, 0.003195
0.4500, 0.868362, 0.003275
0.4600, 0.891100, 0.003093
0.4700, 0.907623, 0.003429
0.4800, 0.918468, 0.003497
0.4900, 0.926191, 0.003284
0.5000, 0.930879, 0.003695
0.5100, 0.935007, 0.003950
0.5200, 0.936280, 0.003633
0.5300, 0.939632, 0.003691
